Wavelengths,HRCR
380,1.5734231320767285e-21
381,4.308572657584487e-21
382,1.1797717183175007e-20
383,3.2302756894409433e-20
384,8.844200004460841e-20
385,2.421336692983194e-19
386,6.628722368195567e-19
387,1.8146077643652584e-18
388,4.9672307008998136e-18
389,1.3596427335589672e-17
390,3.721469477187858e-17
391,9.647530521543964e-17
392,2.433420618355203e-16
393,6.100831671761618e-16
394,1.5186878282352738e-15
395,3.748504305909686e-15
396,9.157312717715167e-15
397,2.2086404912709137e-14
398,5.241024887373052e-14
399,1.2173396935305096e-13
400,2.9605384527202877e-13
401,7.552365331261593e-13
402,1.9183327504529496e-12
403,4.848653726572858e-12
404,1.2185346322012537e-11
405,3.041943118947014e-11
406,7.533898092924614e-11
407,1.8481424152893472e-10
408,4.480705335335363e-10
409,1.0703611394017155e-09
410,2.5082671167955317e-09
411,5.727396024835393e-09
412,1.4140259688509579e-08
413,3.486025190088642e-08
414,8.503635792355951e-08
415,2.047179424940912e-07
416,4.846042569883131e-07
417,1.1217887975231933e-06
418,2.517219107090008e-06
419,6.125243034607218e-06
420,1.7052748523769818e-05
421,4.709847368856427e-05
422,0.00012754090134141843
423,0.0003289942670610534
424,0.0007612741236876757
425,0.0014506573593673
426,0.0021727025111011413
427,0.002679981957570618
428,0.002965704709708515
429,0.0031267725932943298
430,0.003232938441114978
431,0.0033171823142512996
432,0.0033929911576694024
433,0.0034656055621168575
434,0.0035370146191354298
435,0.003607967697918777
436,0.0036787530361169895
437,0.003749471817980636
438,0.0038201691988415496
439,0.003890854976306893
440,0.003961539977970907
441,0.00403222111403069
442,0.004102904376090343
443,0.004173584860366633
444,0.004244267878301109
445,0.004314948271169325
446,0.004385631254888296
447,0.004456311634952872
448,0.004526994613882023
449,0.004597674992155227
450,0.004668357970414593
451,0.00467812160284795
452,0.0046796791037426975
453,0.004681239204796313
454,0.0046827967056780025
455,0.004684356806726812
456,0.004685914307606733
457,0.004687474408654892
458,0.004689031909534572
459,0.004690592010582643
460,0.004692149511462291
461,0.0046937096125103505
462,0.004695267113389996
463,0.004696827214438052
464,0.004698384715317696
465,0.004699944816365753
466,0.004701502317245396
467,0.004703062418293453
468,0.00470462251934151
469,0.004827891303485312
470,0.005031500091267219
471,0.0052351114792175395
472,0.00543872286716786
473,0.005642331654949767
474,0.005845943042900087
475,0.006049551830681993
476,0.006253163218632314
477,0.006456772006414221
478,0.00666038339436454
479,0.0068639947823148605
480,0.008038891280596035
481,0.009454807789791521
482,0.010870726899155421
483,0.01228664600851932
484,0.01370256511788322
485,0.01511848422724712
486,0.01653440333661102
487,0.017950322445974918
488,0.01936624155533882
489,0.020782160664702717
490,0.02219807977406662
491,0.03007964526463977
492,0.037961210755212915
493,0.04584277624578607
494,0.053724344336527625
495,0.06160590982710078
496,0.06948747531767394
497,0.07736904080824708
498,0.08525060629882024
499,0.09313217178939338
500,0.10198245342390493
501,0.11098973322721925
502,0.11999701563070199
503,0.12900429543401634
504,0.13801157783749907
505,0.1470188576408134
506,0.15602613744412774
507,0.1650334198476105
508,0.1740406996509248
509,0.18304798205440756
510,0.1920552618577219
511,0.19960501465672065
512,0.2022332414874981
513,0.204861470918444
514,0.2074896977492215
515,0.2101179271801674
516,0.21274615401094485
517,0.21537438084172233
518,0.21800261027266823
519,0.22063083710344572
520,0.22317403582693568
521,0.2248471115923876
522,0.22652018735783958
523,0.22819326312329152
524,0.22986633888874347
525,0.2315394146541954
526,0.23321249041964737
527,0.2348855635849309
528,0.23655863935038282
529,0.23823171511583477
530,0.23974283159115112
531,0.2412453441091874
532,0.24274785662722373
533,0.24425036914526
534,0.2457528816632963
535,0.2472553941813326
536,0.24875790669936892
537,0.25026041921740516
538,0.2517629317354415
539,0.2532654442534778
540,0.2547679567715141
541,0.2556549080195238
542,0.2552186881654766
543,0.2547824683114294
544,0.25434625105755065
545,0.2539100312035035
546,0.2534738113494563
547,0.25303759149540905
548,0.2526013742415303
549,0.2521651543874831
550,0.2517289345334359
551,0.250449870088176
552,0.24758597179291061
553,0.24472207609781366
554,0.24185817780254829
555,0.23899427950728291
556,0.23613038121201754
557,0.2332664829167522
558,0.23040258462148683
559,0.22753868632622146
560,0.22543786205541327
561,0.22624762730407036
562,0.22705739255272747
563,0.22786715780138458
564,0.2286769230500417
565,0.22948668569853042
566,0.23029645094718754
567,0.23110621619584462
568,0.23191598144450173
569,0.23272574409299043
570,0.23353550934164755
571,0.2386083209086673
572,0.24990455496800656
573,0.2612007916275143
574,0.2724970256868536
575,0.2837932623463613
576,0.2950894964057006
577,0.3063857330652083
578,0.31768196712454755
579,0.32963592678490555
580,0.347648931490823
581,0.36566193359657206
582,0.38367493570232103
583,0.40168794040823846
584,0.41970094251398754
585,0.4385601798305604
586,0.45957508937045427
587,0.4805900015105166
588,0.5016049110504105
589,0.5234241904895037
590,0.5507431069411861
591,0.5780620207927001
592,0.6053809372443825
593,0.632699853696065
594,0.6577178993198836
