Wavelengths,HRCR
380,0.021474554845213375
381,0.023319930145521913
382,0.025376027932096104
383,0.02739789519825917
384,0.029142133609979207
385,0.03054631272077251
386,0.03192430765778723
387,0.033284954402905034
388,0.035259752733341455
389,0.037197485848394087
390,0.03907781840079351
391,0.0408489394384855
392,0.042580239045739696
393,0.04424301890382728
394,0.04584165426082467
395,0.04740126048732623
396,0.04908721727845887
397,0.050773149838992525
398,0.052278400808682145
399,0.05139699199119859
400,0.05052222040151203
401,0.05054688578201474
402,0.05057619976051351
403,0.05059107292447793
404,0.05057926270095825
405,0.050555296731602174
406,0.05051917722225579
407,0.050344240086824144
408,0.0501245708047487
409,0.04989642415745041
410,0.049659805470710035
411,0.04935024066769308
412,0.048826562260580644
413,0.048172987569779176
414,0.04751361069850306
415,0.04684841643675232
416,0.046041388914311934
417,0.045228184412671645
418,0.044414222615873425
419,0.04359957473438682
420,0.04281865332476321
421,0.042073054488070416
422,0.04132671961799699
423,0.04057964269092985
424,0.039831834992174873
425,0.03908329041046948
426,0.03831110887205807
427,0.03750978168096478
428,0.0367098082469143
429,0.03611720174069325
430,0.03557473728564407
431,0.03503317094525155
432,0.03449250353474599
433,0.0339527359885616
434,0.03341439833927965
435,0.032877385385829815
436,0.03234124312840546
437,0.03179915704030444
438,0.031257569737949166
439,0.030717088416278286
440,0.030195308376218706
441,0.02969839042706491
442,0.02960320261229011
443,0.02961153941656437
444,0.029619876220838615
445,0.029628213025112867
446,0.029636549862514766
447,0.02964488666678901
448,0.029653223471063264
449,0.029661560275337513
450,0.029669897079611766
451,0.02967823388388601
452,0.02917714228686046
453,0.028451040941769278
454,0.02772310244454829
455,0.026993337035329315
456,0.02626173780513232
457,0.025528303559039373
458,0.024793033102132565
459,0.024055925266285635
460,0.02331632358816282
461,0.02334321651104265
462,0.0233701192346922
463,0.023403488566657582
464,0.023441196807272174
465,0.023478919781176638
466,0.023516657514519732
467,0.02355440995503998
468,0.023592177128850103
469,0.02362995903595011
470,0.023667755702632836
471,0.02370556707634862
472,0.02401474755603478
473,0.02467885603634479
474,0.02533193035639865
475,0.025986325667212058
476,0.026641600574281325
477,0.027297657840486676
478,0.027954991729469688
479,0.028613608805397053
480,0.0292734977742451
481,0.02993466519712787
482,0.030597111598885247
483,0.0308871446011845
484,0.030918146287720005
485,0.03094915752841692
486,0.030980178391800683
487,0.031011208809290255
488,0.03104224884952228
489,0.031073298443804496
490,0.031104357660884784
491,0.031131244031549488
492,0.03115394636422748
493,0.03117665512540765
494,0.03128603596313548
495,0.034902757008044856
496,0.038512844540722145
497,0.04212505565244596
498,0.04573938760331723
499,0.049355837505637254
500,0.0520929998646242
501,0.05209042566773142
502,0.052087846723877874
503,0.05208526291770678
504,0.052082674306891015
505,0.052080080891430576
506,0.05207748272905351
507,0.052074879704314764
508,0.05270344965403104
509,0.0548835283043668
510,0.05703582081825192
511,0.059179507472958026
512,0.06131523561577887
513,0.06344100220852568
514,0.06556315050864346
515,0.06768166861130037
516,0.06979656250549515
517,0.0719078321912278
518,0.07401547775121307
519,0.07611950498152847
520,0.07821990203931144
521,0.08031667488863226
522,0.08240982352949096
523,0.08449934805671472
524,0.0857537009194332
525,0.08568165336210684
526,0.0856096058047805
527,0.08553755824745417
528,0.08546551078644357
529,0.08462492089593732
530,0.08219296449201506
531,0.07974402302005432
532,0.07727129806500282
533,0.07480557346443337
534,0.07234684323052124
535,0.0698951015005499
536,0.06745036000869957
537,0.06501261288350658
538,0.06279873769995535
539,0.06070750494687064
540,0.05862226737020486
541,0.05654302496995804
542,0.054469777746130175
543,0.05239384714907722
544,0.05028705902478648
545,0.04818987738870776
546,0.0461023023545762
547,0.04402433386438221
548,0.04299542135214905
549,0.04288628757044496
550,0.042774612249258985
551,0.04266296819086648
552,0.042551355495404626
553,0.04243977406275116
554,0.04244663652651252
555,0.04800332487449862
556,0.05351886678202372
557,0.05899328532877137
558,0.06442658704314504
559,0.06981879514577766
560,0.07516993277641199
561,0.0804800065278122
562,0.08808626013089091
563,0.12551773002528865
564,0.16257267344778958
565,0.19075527010918797
566,0.2177618546019286
567,0.24467872786133324
568,0.2860358392178706
569,0.3269777431464147
570,0.3627669810626779
571,0.39731256442355345
572,0.434797844322205
573,0.4735557239071612
574,0.5118047252679632
575,0.54153601421506
576,0.5686545096282227
577,0.5953920865098232
578,0.6217395985408881
579,0.64751306405387
580,0.6728898376240235
581,0.7012488050110279
582,0.7291729666830108
583,0.7560927825325615
584,0.7818564430044542
585,0.8365760927740191
586,0.8624861606773113
587,0.8851211531277628
588,0.9066118499460311
589,0.9153174816896045
590,0.9235419701767074
591,0.9327586502620621
592,0.9492070657228163
593,0.9618188798743439
594,0.9726678382554256
595,0.9831363599165964
596,0.9932244405415387
597,0.9995279932229022
598,0.9998639543458834
599,1.0
600,0.9971004195181598
601,0.9909950967603465
602,0.9849320499883668
603,0.9789754365301355
604,0.9701763727704658
605,0.9609369214852347
606,0.9516836119664203
607,0.9424164456947385
608,0.9331354192994791
609,0.9238405294053962
610,0.9145317775000085
611,0.9033196381734492
612,0.8910772347254816
613,0.8788858374598431
614,0.8667454553635743
615,0.854656091473549
616,0.8426177532138945
617,0.830630450803188
618,0.8186941930703323
619,0.8068508172472146
620,0.7950842027304502
621,0.7833682982896504
622,0.7708291782910902
623,0.7581401122204069
624,0.7455289995362196
625,0.7329958524356184
626,0.7205406815436128
627,0.7081634928354519
628,0.6958643000893113
629,0.6836431154765922
630,0.6714999495123283
631,0.6594348084687706
632,0.6474477059627576
633,0.6346628286128679
634,0.621850865590623
635,0.609078158136949
636,0.5963806740455977
637,0.5837717333925744
638,0.5712513535423277
639,0.5588195453461718
640,0.5466976169018067
641,0.5348900831441423
642,0.5231768112581404
643,0.5115578169502454
644,0.5000331101643384
645,0.48860270657619864
646,0.47726661616037497
647,0.4660248567713198
648,0.45484299598762873
649,0.4430894646713391
650,0.43171280178577504
651,0.42094054502827166
652,0.41026920165627495
653,0.3997006085935408
654,0.38924363040493765
655,0.37889826844550994
656,0.3686645240306025
657,0.35854239451960096
658,0.3485318812377749
659,0.3386388693146586
660,0.32887957941541535
661,0.3192306796108303
662,0.3096921677956106
663,0.30026404693022163
664,0.29147685524607053
665,0.2831299352785716
666,0.2748795663093484
667,0.2667257522513017
668,0.25866848770913586
669,0.25088819557325076
670,0.24323812903544093
671,0.23567420476759807
672,0.2281964190155013
673,0.22153577787845402
674,0.21583667142385105
675,0.21019903525948214
676,0.20462287045828018
677,0.19910817719547463
678,0.19365495532499633
679,0.1882632060644678
680,0.18293292713796
681,0.1777826921729911
682,0.17276584624579588
683,0.16772433065395878
684,0.16273597308045054
685,0.15780077146310065
686,0.15291872684499735
687,0.14808984026589067
688,0.14331411056197677
689,0.13859153691024534
690,0.13396102830510945
691,0.12965778096669858
692,0.12537554226477746
693,0.12176487971919468
694,0.11862366595715591
695,0.11550857029963142
696,0.11241957659780052
697,0.10935666944212105
698,0.10631983118829005
699,0.10330904644369798
700,0.10036230352446654
701,0.10186202535593653
702,0.10149931047457021
703,0.1003834632939844
704,0.09927387872669269
705,0.09817055394967704
706,0.0970734861215395
707,0.09598266957668147
708,0.09489760997577668
709,0.09381758772635344
710,0.09274384363626297
711,0.09167637387771486
712,0.09061517659502231
713,0.08956024519601666
714,0.08851157650109841
715,0.08746916641378445
716,0.08643301173151122
717,0.0854031065653701
718,0.08437944771738615
719,0.08336203197124213
720,0.0823508534655429
721,0.08126165121178336
722,0.08015335539517955
723,0.07905290387154372
724,0.07796029108028986
725,0.07687551327041442
726,0.07579856412598864
727,0.07472943809611363
728,0.07366685502058506
729,0.07260906898856101
730,0.07155921245106966
731,0.0705172800517488
732,0.06948326493540151
733,0.0684571595457222
734,0.06743895873983426
735,0.06642865567227481
736,0.06542624280787948
737,0.06443171497291968
738,0.06344506533164965
739,0.062466286905831496
740,0.06149537288347376
741,0.06067578966987173
742,0.05986479823163476
743,0.059059420996470276
744,0.05825965464997932
745,0.057465495110199834
746,0.05667693674622656
747,0.05589397670839903
748,0.055139742048728096
749,0.05444770421610718
750,0.053760328704762876
751,0.053077609031508724
752,0.0523995414055051
753,0.0517261179597747
754,0.0510573344090877
755,0.05039318575438128
756,0.0497336655451369
757,0.04907876993455717
758,0.04842849113493202
759,0.04778282529110186
760,0.04714176597858377
761,0.04650530865178236
762,0.045873447548764865
763,0.04524617680719944
764,0.044623490682752225
765,0.04400538460390193
766,0.04338676246937899
767,0.04277245907833717
768,0.04216279629957363
769,0.04155763689623053
770,0.040955219278622466
771,0.04035748317380452
772,0.03976442299598029
773,0.039176031346298275
774,0.03859230264366648
775,0.03801323069950345
776,0.03743880932522775
777,0.03686903291158749
778,0.03630389451499192
779,0.03574338771100331
780,0.03518750672258373
781,0.03463624536115173
782,0.03408111366498127
783,0.03353018879146261
784,0.03298401601064617
785,0.0324425894599903
786,0.03190590164621723
787,0.03137394671143211
788,0.03084671825106203
789,0.03032743605142234
790,0.029847527783748
791,0.02937165242831895
792,0.02889980528520223
793,0.028431980191415202
794,0.027968172433916638
795,0.027508375862819547
796,0.027052585402592644
797,0.026600795964640437
798,0.026152962116583012
799,0.025709043563064308
800,0.025269112373902957
801,0.02483316423066037
802,0.024401192981386124
803,0.023973193806643634
804,0.023549160567470594
805,0.023129088431454996
806,0.02271297127259725
807,0.022300614775374004
808,0.02187685125106413
809,0.021457349458717273
810,0.02104210313513941
811,0.020631106932408685
812,0.02022435428652528
813,0.019821840264184147
814,0.019423557746235713
815,0.019029500917234
816,0.018639664397120146
817,0.01825404193555494
818,0.01787262729500314
819,0.017495415076199908
