Wavelengths,HRCB
380,0.02792722374135586
381,0.03565575434036819
382,0.044702547576929756
383,0.05475366389046017
384,0.06526876109485098
385,0.07591823565760772
386,0.0873329028858951
387,0.09954286466759793
388,0.11461152108366898
389,0.1307625012205292
390,0.14792416887287863
391,0.1658748963632392
392,0.1848605672318319
393,0.20475044366647382
394,0.2255430400689027
395,0.24734939843248815
396,0.271084848099934
397,0.2961685227750446
398,0.32153194868948615
399,0.33276165202444385
400,0.3438177853787758
401,0.36107758315603367
402,0.3787651918257395
403,0.3967488722131075
404,0.41492639587675645
405,0.43340686792922734
406,0.45471601574309134
407,0.47535023455341047
408,0.4926207084951943
409,0.5124645419991574
410,0.5395523096282734
411,0.5570520842780486
412,0.5721481393848543
413,0.5873384878721203
414,0.6032751077805691
415,0.6193187354687956
416,0.6335896593397466
417,0.6478019608541892
418,0.6620271425329184
419,0.6759822584529761
420,0.6888615077605046
421,0.7017529803657087
422,0.7146566740171911
423,0.7275725997527965
424,0.7405007561473557
425,0.7534411525941699
426,0.7659359616997652
427,0.777420278162896
428,0.7877036586615259
429,0.7979668551049887
430,0.8082098482673724
431,0.8184326198414179
432,0.8286351487751258
433,0.8388174167499922
434,0.8489928455732262
435,0.8591597997972532
436,0.8693070137486432
437,0.8792460168713867
438,0.8890000047613144
439,0.8985223773643082
440,0.9085498938229039
441,0.9193189207654664
442,0.9263773761205788
443,0.9324821178482015
444,0.9385901468338178
445,0.9447014696558595
446,0.9508160807968625
447,0.956933984719861
448,0.9631905503718942
449,0.9697833692279862
450,0.9763797418741575
451,0.9829796683104075
452,0.9861496389435217
453,0.9884022880889156
454,0.9906580144747572
455,0.9929168197580236
456,0.9951787055956912
457,0.997443673644737
458,0.9997117222406037
459,1.0
460,0.9977903786242549
461,0.9955489478697119
462,0.9933001174245701
463,0.9913173750340563
464,0.9895080929489024
465,0.9876884709952544
466,0.9858585004880368
467,0.9821662793553048
468,0.9765576505107821
469,0.9709266314288649
470,0.9652732029806362
471,0.9595973529255909
472,0.953899072274897
473,0.9481483829636923
474,0.9397764059040505
475,0.9313593715150608
476,0.922907523882301
477,0.9144195033732
478,0.9059127836449059
479,0.897387354474785
480,0.8888432118681739
481,0.8801604120323038
482,0.8682571556652173
483,0.8563284856288012
484,0.8443743889544079
485,0.8323948527987595
486,0.8203898670977142
487,0.8083594180996203
488,0.7963034956864588
489,0.784222086160547
490,0.7707839443998269
491,0.754862025724262
492,0.7388122339084072
493,0.7227383939378804
494,0.7066404974327168
495,0.6904141474411932
496,0.6739798939763051
497,0.6563491389828612
498,0.6385070725595416
499,0.62065417555042
500,0.602640442275836
501,0.5845691286607252
502,0.5661985877791345
503,0.5439677373296894
504,0.5217390415853798
505,0.4995125066905383
506,0.47728813931857317
507,0.45512444799198154
508,0.4377600707952979
509,0.42039739570976814
510,0.4028417943232827
511,0.3852638131405076
512,0.3676770006269788
513,0.3508694744303453
514,0.336754143853861
515,0.32266184745379295
516,0.3085925817784266
517,0.29454635373407134
518,0.28379869715472933
519,0.2734666413040162
520,0.26315147374133085
521,0.2528532013499375
522,0.23749847994841625
523,0.21868692044486898
524,0.20479526769295286
525,0.19092665254900276
526,0.17708107158146874
527,0.16325852479035077
528,0.1530982221641034
529,0.14403429601560677
530,0.13498544678541086
531,0.12591856285013586
532,0.11682759054438326
533,0.10776307018090583
534,0.09872500500984838
535,0.08971338824126394
536,0.08399147972788065
537,0.07900503133229786
538,0.0740331280489106
539,0.06907577662723384
540,0.06413297368998312
541,0.059204715880089916
542,0.05429100991674523
543,0.05076895414994802
544,0.048182066633838755
545,0.045607137367088706
546,0.04304415978950099
547,0.040493137183802014
548,0.03795406950578015
549,0.035423810616185054
550,0.032903983988554916
551,0.030396858713387903
552,0.02809897781556682
553,0.026633671051205756
554,0.025164007831648957
555,0.023691198431863167
556,0.02222839103872802
557,0.020775578075781672
558,0.019332755302375524
559,0.017899918449742126
560,0.016477063249114028
561,0.015064185431723788
562,0.013661277569176605
563,0.012517530934680714
564,0.011837138400957271
565,0.011156797480547912
566,0.010482477597146626
567,0.009814179282095766
568,0.009151903006639716
569,0.00849564000402467
570,0.007845390760512987
571,0.007201155702321162
572,0.0065560846755655065
573,0.005917722442321369
574,0.0052867365395935905
575,0.005125869750839753
576,0.005093958207754177
577,0.005062055969277822
578,0.0050300876868173425
579,0.0049966428249034476
580,0.00496322504255965
581,0.0049305359708860285
582,0.004897846899212406
583,0.004861495788990365
584,0.004820997056757132
585,0.004780498331170538
586,0.004739999598937304
587,0.004699500866704071
588,0.004659002141117479
589,0.0046185034088842445
590,0.004577061764585377
591,0.004535000168381516
592,0.004492938572177655
593,0.004450876975973795
594,0.004408815379769933
595,0.004366753783566073
596,0.004324692187362212
597,0.004282630591158351
598,0.004240568988307852
599,0.004198513668191756
600,0.004156638664378427
601,0.004114759882809387
602,0.004073387662069863
603,0.004032780312985881
604,0.003992169294347294
605,0.003951554619450088
606,0.003910936274997681
607,0.003870314274287251
608,0.0038296886106703597
609,0.0037890592774973723
610,0.0037484262880672563
611,0.0037077896290804483
612,0.0036671493138371093
613,0.0036265053356873077
614,0.0035858576879799183
615,0.003545206384016894
616,0.003504551410495684
617,0.0034638927807194362
618,0.0034232304880367254
619,0.003382739935374262
620,0.003342354723623118
621,0.0033019658811378623
622,0.0032615733946123643
623,0.00322117727069954
624,0.00318077750939939
625,0.0031403741173663233
