Wavelengths,HRCG
380,4.1028339597648003e-22
381,1.1752285788262185e-21
382,3.3590457299216224e-21
383,9.905511142617201e-21
384,2.9031768708043005e-20
385,8.464066981346374e-20
386,2.4563702177017197e-19
387,7.100067314859032e-19
388,2.0449708313741196e-18
389,5.9502112655076276e-18
390,1.7611335745991995e-17
391,5.177869845856437e-17
392,1.5136704243811393e-16
393,4.4032085413428025e-16
394,1.275372876586771e-15
395,3.680090087817966e-15
396,1.05832422934603e-14
397,3.0344078316970273e-14
398,8.676734737352791e-14
399,2.4750209677043456e-13
400,6.827676429429983e-13
401,1.8375406754342495e-12
402,4.9448981643152715e-12
403,1.3305562510961401e-11
404,3.579840763160404e-11
405,9.630477949760003e-11
406,2.5905060646088493e-10
407,6.967436898974836e-10
408,1.8737520387798656e-09
409,5.038493501348716e-09
410,1.3546830090402151e-08
411,3.641848105685317e-08
412,9.789302182037976e-08
413,2.6310279138566557e-07
414,7.070333886445152e-07
415,1.899716746275753e-06
416,5.103373803672663e-06
417,1.3705890928813363e-05
418,3.6817843260863484e-05
419,9.897805500217401e-05
420,0.00026534920165231557
421,0.0007062060442342788
422,0.0018439577576388009
423,0.004589065330702707
424,0.010250706654626853
425,0.018866051700097336
426,0.02730444613279699
427,0.032559791671481514
428,0.034848369273375875
429,0.035549348174838256
430,0.03597892738869905
431,0.03636685274454872
432,0.03665921394929573
433,0.03691590724793947
434,0.037159350992390025
435,0.037397884624700485
436,0.037634599589633735
437,0.03787064379600677
438,0.038106436013606006
439,0.03834213592953647
440,0.03857780434091255
441,0.03881345743949294
442,0.0390491058561832
443,0.0392847525399056
444,0.0395204012466156
445,0.03975604705151676
446,0.03999169276855587
447,0.04022734111748729
448,0.040462986789976035
449,0.04076641768871326
450,0.041126888254800584
451,0.04148736148468836
452,0.04184783471435022
453,0.042208307943928255
454,0.04256878117347517
455,0.04292925173860148
456,0.04328972496813258
457,0.04365019819766207
458,0.04401067142719097
459,0.04437114199231062
460,0.044731615221839216
461,0.04512968859191645
462,0.045959457509904156
463,0.046789229092300905
464,0.04761900067469765
465,0.04844877225709439
466,0.04927854383949114
467,0.05010831275747883
468,0.050938084339875574
469,0.05176785592227232
470,0.05259762750466907
471,0.05342739908706581
472,0.05455169977494216
473,0.056437389986883274
474,0.05832308286323344
475,0.060208775739583595
476,0.06209446861593376
477,0.06398016149228392
478,0.06586585436863408
479,0.0677515445805752
480,0.06963723745692536
481,0.07644162394602039
482,0.08339642964817337
483,0.09035123535032634
484,0.09730603838807024
485,0.10426084409022322
486,0.11121564979237619
487,0.11817045549452915
488,0.12512526119668213
489,0.13208006423442606
490,0.13903486993657901
491,0.16595211034865376
492,0.1928693507607285
493,0.21978659117280322
494,0.24670383158487796
495,0.2736210719969527
496,0.3005383124090274
497,0.32745555282110217
498,0.3543727932331769
499,0.3812900336452516
500,0.4086066156861125
501,0.44898167698150887
502,0.48935674094131426
503,0.5297318022367106
504,0.5636439157342695
505,0.5948676564843273
506,0.626091399898794
507,0.6573151433132608
508,0.6945801305116012
509,0.736749570056301
510,0.7773482631966994
511,0.7930506515404683
512,0.8087530425486462
513,0.824455430892415
514,0.8401578192361839
515,0.8559600429871493
516,0.8730082163501003
517,0.8900563870486422
518,0.9071045577471842
519,0.924152728445726
520,0.9402225121537418
521,0.946280128731243
522,0.9523377479731534
523,0.9583953645506545
524,0.9644529811281558
525,0.9705105977056571
526,0.9765682142831583
527,0.9826258308606595
528,0.9886834501025699
529,0.9947410666800711
530,1.0
531,0.9993287048036358
532,0.9986574122716808
533,0.9979861170753167
534,0.9973148245433617
535,0.9966435320114067
536,0.9959722368150427
537,0.9953009442830876
538,0.9946296490867234
539,0.9939583565547684
540,0.9922288060421209
541,0.9844248664969868
542,0.9766209269518527
543,0.9688169900711276
544,0.9610130505259935
545,0.9532091109808594
546,0.9454051714357252
547,0.9376012318905911
548,0.9297972923454569
549,0.9180002029533664
550,0.9054411645113097
551,0.8930378741004162
552,0.8809274315528902
553,0.868816989005364
554,0.8567065464578378
555,0.8445961039103117
