Wavelengths,HRCG
380,0.0009411414880872953
381,0.0015833157306215791
382,0.0023447193912361076
383,0.003215103343806697
384,0.004160223818682207
385,0.005151181001574767
386,0.006225179837374032
387,0.00738456796425495
388,0.008787862105011306
389,0.010308618816926428
390,0.011941184780007268
391,0.013667041067874853
392,0.015505624254849953
393,0.0174458338725059
394,0.01948711036799469
395,0.021638808030959234
396,0.023981937743270575
397,0.02646708349310342
398,0.028998531866160738
399,0.03026353673708839
400,0.03150964011532135
401,0.033325416469236785
402,0.03518582598287305
403,0.03707876830085526
404,0.03899461515166004
405,0.04094350530338921
406,0.042925457901861
407,0.04482772877109645
408,0.04672220111072038
409,0.04863970511877824
410,0.05058025299497759
411,0.05247532152405375
412,0.05426527628483305
413,0.056066736745310035
414,0.057879710355576056
415,0.059704201299870786
416,0.06130688800247259
417,0.0624158420750357
418,0.06352580061150631
419,0.06463687522219674
420,0.0657504005966901
421,0.06686498032167074
422,0.06798061477578492
423,0.0690973043376789
424,0.07021504624423103
425,0.07133384715730494
426,0.07241042214458442
427,0.07342934815242717
428,0.0744462875982227
429,0.07546123858611081
430,0.07691858920773832
431,0.0791575279237184
432,0.08139225467099126
433,0.08362276548351802
434,0.08585041580442153
435,0.08807509139326607
436,0.09029567030129428
437,0.09249231770762618
438,0.09468208171139056
439,0.09686664881070604
440,0.09910375903285165
441,0.10142146332662057
442,0.10374045437750738
443,0.10606073547735866
444,0.10838230662617433
445,0.11139563663289656
446,0.11448431806981385
447,0.11757471626150394
448,0.1206668377059342
449,0.12376067921684539
450,0.12685623760439324
451,0.12995351924737014
452,0.13616904077383787
453,0.14400077073413228
454,0.15185116700255483
455,0.15972023841693314
456,0.1676079970071331
457,0.17551445480302083
458,0.1834396238344623
459,0.19138351634447193
460,0.19934054225979
461,0.20731081043548288
462,0.21609433276985282
463,0.22560031925500132
464,0.2351760641613533
465,0.24478160414994518
466,0.2544169503882587
467,0.2640821229317214
468,0.27370732550623245
