Wavelengths,R3B
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.014238236085966709
386,0.030121382799318672
387,0.046559678436524296
388,0.06271305384887414
389,0.07870449378843544
390,0.09403264786230514
391,0.11114617692036374
392,0.12954780759726114
393,0.14782702634875358
394,0.16444030997199172
395,0.1818946952933807
396,0.19810898207871827
397,0.21389108667245532
398,0.22882664522404234
399,0.24546057054362883
400,0.26301717062482705
401,0.2819952987160617
402,0.29971227830524366
403,0.31734201078635293
404,0.3337064644535987
405,0.35035897141071287
406,0.3659331374858916
407,0.38566865044500764
408,0.4057043646871327
409,0.42589276818091093
410,0.4443690382819903
411,0.459854414754642
412,0.4723823966676298
413,0.48430275268201983
414,0.4962518595530267
415,0.5106965186793199
416,0.5231475050236212
417,0.5352534636133666
418,0.5502807482639422
419,0.5656846429547123
420,0.5780663898678232
421,0.5862009228499329
422,0.5936608135256316
423,0.6021435181578737
424,0.6098310323813079
425,0.6182094537634926
426,0.6265878287883649
427,0.6364806363864429
428,0.6502956957026693
429,0.6611260442789346
430,0.6691908728056339
431,0.6755645742452232
432,0.6823631939159509
433,0.6899266500283895
434,0.6988856927973842
435,0.7075197709144638
436,0.7141177860546535
437,0.7199253363026442
438,0.7254490605331935
439,0.7308502089136831
440,0.7368460679143979
441,0.7466397329616978
442,0.7555871798938977
443,0.7625915682368452
444,0.7658304216995944
445,0.7731226636096279
446,0.7800573955233984
447,0.7879199779712571
448,0.7952964372008074
449,0.8033737616295741
450,0.8105837713749304
451,0.8031054236293681
452,0.7950465641245947
453,0.7874042858474303
454,0.781061218996057
455,0.7728536356541379
456,0.7645178847002237
457,0.7577216621077224
458,0.7520810624063908
459,0.7424645666160843
460,0.7332805923322783
461,0.7486726510242377
462,0.7670651949265682
463,0.784485709280792
464,0.8007592088720621
465,0.8178585008639216
466,0.8353852781327367
467,0.8544078691812347
468,0.8708094801207823
469,0.8871666905336192
470,0.9047394646136164
471,0.912558861563552
472,0.920245456106327
473,0.9246941330135919
474,0.9257752026207636
475,0.9266944259054878
476,0.929800768097576
477,0.9382689521902049
478,0.9464779315123614
479,0.9515227968382957
480,0.95322028870979
481,0.9562905283469044
482,0.9616493011524206
483,0.967417242044269
484,0.9714894262876335
485,0.9749360348080441
486,0.9766986181888313
487,0.9790828162888089
488,0.9857588947654515
489,0.9948771807304757
490,1.0
491,0.992633427968711
492,0.9707120459826465
493,0.9508583801308254
494,0.9317018735559046
495,0.9138335918855476
496,0.8949055613508468
497,0.8730549183179506
498,0.8425038845412143
499,0.7845724290979552
500,0.6815194797989516
501,0.5482671930923195
502,0.3916514899285063
503,0.23576133558123952
504,0.12774811294123173
505,0.07395754206392191
506,0.04758176794306844
507,0.030167065614161014
508,0.019249432265144112
