Wavelengths,G08
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,2.0325746361780596e-05
386,0.00028095227889344507
387,0.0001245395811169861
388,0.0
389,0.0
390,0.0007819663808229332
391,0.0009013389745604883
392,0.0006061411112205456
393,0.0005650796276594873
394,0.0006413605822317155
395,0.0
396,0.0
397,0.0
398,0.0
399,0.00023572724711994227
400,0.0
401,0.0
402,0.00015739203925439966
403,0.00036230886441203245
404,2.2881206248327234e-05
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0005680017605114445
410,0.00012122993958298706
411,0.00012490574714111655
412,0.0004676036628463951
413,0.0020133465354946283
414,0.0009305867920788737
415,0.0
416,0.0
417,0.00019698853940234217
418,0.00022262519022057064
419,0.0003133375984067447
420,0.00022162716457859214
421,6.451370253926889e-05
422,0.0
423,0.0
424,0.0
425,0.0003008625092161669
426,8.005216196199075e-06
427,0.0003122888219379883
428,0.0011959631612866047
429,0.0017146203991461747
430,0.001555287739848992
431,0.0002488642705310569
432,0.0
433,0.0
434,0.00010615321032043666
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0008901343697949376
440,0.0011471105212239798
441,0.0008015130475160158
442,0.0006292848622593393
443,0.0
444,0.0
445,0.0
446,0.00046718609806003814
447,0.0011575461783465096
448,0.0005694370594587905
449,0.0007832978338402426
450,0.0003367112112797079
451,0.0005134471095785415
452,0.0009771921357475788
453,0.000645149934323065
454,0.0004877352132442534
455,0.00025575547303751766
456,0.000528545898565874
457,0.0005735743164827273
458,0.00010783632522792366
459,0.00030138143502534233
460,0.0009751736618270276
461,0.0005976844793195241
462,0.0001993536583420968
463,0.00016194321314490437
464,0.0004873896984280497
465,0.0005389874939405081
466,0.0009744560001512137
467,0.0011532342170346506
468,0.001511466294213806
469,0.0013544210482664245
470,0.001089397065904503
471,0.0006944178727937498
472,0.0006207803113436813
473,0.0007844991196073016
474,0.0010440340823020472
475,0.0009289007592790828
476,0.0007658414326400168
477,0.0006926232020123686
478,0.0008404795078175001
479,0.0010392368856165268
480,0.0009986151358724114
481,0.0007385599684643233
482,0.0006624574031109139
483,0.0005650662263612004
484,0.0006588327148888556
485,0.00047668003539002077
486,0.0006480699910242564
487,0.0007207902386471072
488,0.0009718902123034216
489,0.0010141524805787256
490,0.0010169930422484108
491,0.0010519959714014996
492,0.0008685755464438071
493,0.0009154590650411471
494,0.0007847628063469415
495,0.0008381945838003942
496,0.0006971575298331882
497,0.0006495337147318158
498,0.0005934925313715245
499,0.0006202062312167115
500,0.0005849304038019934
501,0.000525318512265577
502,0.0005345244739126047
503,0.0007220737967832385
504,0.0008046478530113381
505,0.0007930528943021835
506,0.0006116426083292916
507,0.0005971214083528605
508,0.0006870725380025242
509,0.0007441380399311001
510,0.0007869682438531517
