Wavelengths,L3B
380,0.00039873698418095945
381,0.001010244318899665
382,0.0014145507637937642
383,0.002283119583799093
384,0.0026702314939521837
385,0.0038499725183570826
386,0.004675696205490302
387,0.0036147161053018363
388,0.006839472360148211
389,0.011069409051937807
390,0.017802970577535722
391,0.028621011942524262
392,0.04710439294238113
393,0.07806717424887648
394,0.11712189539093676
395,0.16922721889749143
396,0.22955145552636258
397,0.2936087050872515
398,0.35155799784289365
399,0.3864856781709192
400,0.41232397049780134
401,0.44007833655807577
402,0.4668381098095216
403,0.48997449446370944
404,0.507354755979008
405,0.5194388146748992
406,0.5272638844949548
407,0.5340577872199843
408,0.54660111830286
409,0.5598306360171662
410,0.5792321581716097
411,0.5954485012838814
412,0.6113607465718957
413,0.6210438534134348
414,0.6301664598983568
415,0.6371661614987207
416,0.6461785937700173
417,0.6571020593343107
418,0.6694966955494892
419,0.6767034156270405
420,0.685509310997709
421,0.693732307540515
422,0.7018338937522753
423,0.709644280349616
424,0.7162876263509276
425,0.7232502166343701
426,0.728087663413284
427,0.7346524998254236
428,0.7383255589722535
429,0.7438481518121536
430,0.7484870685178204
431,0.7494469270799022
432,0.7561272534649667
433,0.7626565780659108
434,0.7641514005504487
435,0.7675391077457975
436,0.7725273290651009
437,0.7805443428640262
438,0.7908514654177891
439,0.8009068430657994
440,0.8093004355714695
441,0.8180759671785313
442,0.8228343112742711
443,0.8268154262592776
444,0.8302355216508858
445,0.8331765836651892
446,0.837962686411172
447,0.8606658682081181
448,0.8659703326764115
449,0.8698961396337046
450,0.8733788430263796
451,0.8765229501952906
452,0.8779542448050368
453,0.8799613099817385
454,0.883124508128729
455,0.8879273241201084
456,0.8928021564902631
457,0.8956953779279523
458,0.8971448980081758
459,0.8989277077132083
460,0.901243801507409
461,0.9033921312010882
462,0.9057127184087398
463,0.9098699196799664
464,0.9133246119480394
465,0.9168823479568787
466,0.9191743364312441
467,0.9198284117025547
468,0.9197462186988987
469,0.9176308115636317
470,0.9160945833255963
471,0.9154364902510533
472,0.9161021063311557
