Wavelengths,L2G
380,0.0050308684644936544
381,0.004764197305033888
382,0.004888812466626058
383,0.0057954806117661226
384,0.008709795386311179
385,0.009529717475735706
386,0.008847135685105612
387,0.00853569352017004
388,0.008644659718181591
389,0.0085483519751238
390,0.00900661608058583
391,0.011338443890633054
392,0.0114434354788379
393,0.01056677419704834
394,0.007760956643799876
395,0.007704546136761711
396,0.0077815668859140975
397,0.009824623937035084
398,0.009976113592783538
399,0.010213362651846315
400,0.00910167255893551
401,0.009413138676051794
402,0.009844753936433956
403,0.010160089706419783
404,0.010878655775452236
405,0.011297559810453548
406,0.010129480048997077
407,0.010051032088362099
408,0.010041301618704201
409,0.010442927793908189
410,0.00953833687568927
411,0.007780984352592571
412,0.00681365354346818
413,0.00769697448643847
414,0.008822501697302277
415,0.008908256935995115
416,0.008372340115825027
417,0.007492162925390182
418,0.008018846106372763
419,0.008710011233153916
420,0.007698502749016005
421,0.007169042012221065
422,0.007351093773399181
423,0.006953338943205762
424,0.006749334396521356
425,0.007367084963353675
426,0.007562767421682833
427,0.007052419353146617
428,0.00663485451481879
429,0.00646426882182625
430,0.005033463534919779
431,0.00449763224823657
432,0.005131497942778699
433,0.006088671293798124
434,0.006437775156982319
435,0.005636408246500398
436,0.005630383445702687
437,0.005800938186331449
438,0.005613584939457319
439,0.005283072611123748
440,0.004787658037385402
441,0.004529018044469588
442,0.004214772306856728
443,0.004306116474075849
444,0.004923558664234038
445,0.0050952719121409185
446,0.005101577245738453
447,0.004980001039160361
448,0.005005870655119028
449,0.004922214206785041
450,0.0052975594824204685
451,0.005667622014463562
452,0.0049577865368486285
453,0.004940441039299155
454,0.004496920134136748
455,0.004695261520032563
456,0.0047494490581217455
457,0.004875883244973165
458,0.005279197523029237
459,0.005642976620313484
460,0.0062562951638081895
461,0.006364521106697678
462,0.006324204383313742
463,0.006509847608773167
464,0.007068466805478258
465,0.007232352415866462
466,0.007040033373026752
467,0.0068044279002664795
468,0.006939680422044567
469,0.006868267676305051
470,0.006769226666505637
471,0.006893843487757313
472,0.007201772658560545
473,0.007074113033267573
474,0.007100010512172278
475,0.007151943885889824
476,0.007590253354386744
477,0.007553502181900623
478,0.007428024637484722
479,0.007644215912317172
480,0.008302617533574178
481,0.008814419537587749
482,0.009255397379825657
483,0.009796511607594049
484,0.010554696727726591
485,0.011872261501629415
486,0.013990560879581136
487,0.017014824044985884
488,0.021499817539742037
489,0.028772920425308067
490,0.040733374038276184
491,0.06123439572181587
492,0.09509535611253062
493,0.1525693754678557
494,0.24149339613478
495,0.36523381988521636
496,0.5121648947237839
497,0.6550877477914073
498,0.7715351553815296
499,0.8505425991835146
500,0.8992608249835226
501,0.9294033180987678
502,0.951180376390735
503,0.9681691670204084
504,0.981431408624012
505,0.9896702061012785
506,0.9956520373740277
507,0.9986872950896899
508,1.0
509,0.9999995793212196
510,0.9982512665376392
511,0.995971125964331
512,0.9929518770224417
513,0.9899831562394337
514,0.9858097748161819
515,0.982283492607808
516,0.9794314538264722
517,0.9772881890876028
518,0.9762061776847175
519,0.976293474347859
520,0.9757932200088358
521,0.9747153640878347
522,0.973182785347994
523,0.9711286674645621
524,0.9686525860824254
525,0.9656786805728923
526,0.962072474483593
527,0.9583469962370692
528,0.9543637538972253
529,0.951150780447229
530,0.9487386506820229
531,0.9469008341302825
532,0.9450439970989253
533,0.9435176871069629
534,0.9423744483341303
535,0.9410645131314901
536,0.9395099703477319
537,0.9371756567711617
538,0.9333667864363903
539,0.9290049523707024
540,0.923364107764093
541,0.9170306504113178
542,0.9099657270030311
543,0.9035218501983525
544,0.8972933322567209
545,0.8917417220427754
546,0.8877041151773083
547,0.8844759463468793
548,0.8829111113478295
549,0.8828159209626807
550,0.8836266784090662
551,0.8848688159644325
552,0.8863039964087533
553,0.8875739960445999
554,0.8882457212529579
555,0.8882077372715401
556,0.8871685016703065
557,0.8860941391534679
558,0.884004474104937
559,0.8808856194580251
560,0.8769600308376323
561,0.8728551001082637
562,0.868541910772914
563,0.8630639588087698
564,0.8578825781773045
565,0.8533406679207383
566,0.8489210437121295
567,0.8454709918014485
568,0.8428049020328375
569,0.8405606894033917
570,0.8385594101634994
