Wavelengths,G01
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.007138322944835175
425,0.041143347300824654
426,0.13434429821666982
427,0.3155087473470915
428,0.5416313558016831
429,0.7202777767546065
430,0.8083447083219886
431,0.8348588939495889
432,0.8443476416661319
433,0.8529882931431743
434,0.8630733369965329
435,0.873630976060843
436,0.8823357572597982
437,0.8941969639000994
438,0.9048363080993649
439,0.9144254716680178
440,0.9199651335571601
441,0.9237267153132958
442,0.9296816260657833
443,0.9418223068408403
444,0.9536002967337279
445,0.9629702804194797
446,0.9706645592328151
447,0.980719874058096
448,0.9916871875538197
449,1.0
450,0.9994603980749857
451,0.947857226020901
452,0.8045273307107823
453,0.5548690073159072
454,0.28917508112517337
455,0.1108048278493558
456,0.03151607377906025
457,0.00848278607374497
458,0.0020224480705537695
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,2.9651236152182703e-05
532,8.47477719225654e-05
533,4.95949646479942e-05
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,5.1557117474213525e-05
550,2.567051217131324e-05
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,2.3679422706946125e-05
558,8.745327259084984e-05
559,9.462346634730012e-05
560,8.633516289219331e-05
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,1.6002171595234145e-06
567,0.0002476833020002239
568,0.00031011705169202696
