EXMPC
WAC
Quantum Efficiency
NA
NA
nm
OnSemi Star1000 Datasheet NOIS1SM1000A/D
Wavelengths,QE
380,-0.01787103825136586
381,-0.01349945355191233
382,-0.009127868852458795
383,-0.004756284153005261
384,-0.0003846994535517123
385,0.003986885245901822
386,0.008358469945355371
387,0.01273005464480891
388,0.01710163934426245
389,0.02147322404371599
390,0.02584480874316953
391,0.03021639344262306
392,0.03458797814207661
393,0.03895956284153015
394,0.04333114754098369
395,0.04770273224043722
396,0.05207431693989076
397,0.05644590163934431
398,0.06081748633879784
399,0.06518907103825139
400,0.06956065573770492
401,0.07393224043715846
402,0.07830382513661201
403,0.08267540983606554
404,0.08704699453551908
405,0.09141857923497262
406,0.09579016393442616
407,0.1001617486338797
408,0.1045333333333332
409,0.1089049180327868
410,0.1129000756429651
411,0.1159825264750378
412,0.1190649773071104
413,0.1221474281391830
414,0.1252298789712556
415,0.1283123298033283
416,0.1313947806354009
417,0.1344772314674735
418,0.1375596822995462
419,0.1406421331316188
420,0.1437245839636914
421,0.1458083174284280
422,0.1474959116022100
423,0.1491835057759920
424,0.1508710999497740
425,0.1525586941235560
426,0.1542462882973381
427,0.1559338824711201
428,0.1576214766449021
429,0.1593090708186841
430,0.1609966649924661
431,0.1624090607734807
432,0.1637350276243094
433,0.1650609944751381
434,0.1663869613259669
435,0.1677129281767956
436,0.1690388950276243
437,0.1703648618784530
438,0.1716908287292818
439,0.1730167955801105
440,0.1743427624309392
441,0.1758469760900140
442,0.1773940928270042
443,0.1789412095639943
444,0.1804883263009845
445,0.1820354430379746
446,0.1835825597749648
447,0.1851296765119550
448,0.1866767932489451
449,0.1882239099859353
450,0.1897710267229254
451,0.1882711803114014
452,0.1862420492214968
453,0.1842129181315922
454,0.1821837870416876
455,0.1801546559517831
456,0.1781255248618785
457,0.1760963937719739
458,0.1740672626820693
459,0.1720381315921648
460,0.1700090005022602
461,0.1735127185051235
462,0.1776517580872011
463,0.1817907976692786
464,0.1859298372513562
465,0.1900688768334337
466,0.1942079164155113
467,0.1983469559975888
468,0.2024859955796664
469,0.2066250351617440
470,0.2107640747438215
471,0.2121022793687902
472,0.2132711864406779
473,0.2144400935125657
474,0.2156090005844535
475,0.2167779076563413
476,0.2179468147282291
477,0.2191157218001169
478,0.2202846288720046
479,0.2214535359438924
480,0.2226224430157802
481,0.2237913500876680
482,0.2249602571595558
483,0.2261291642314436
484,0.2272980713033314
485,0.2284669783752191
486,0.2296358854471069
487,0.2308047925189947
488,0.2319736995908825
489,0.2331426066627703
490,0.2343115137346581
491,0.2331708559373116
492,0.2287203837653205
493,0.2242699115933293
494,0.2198194394213382
495,0.2153689672493470
496,0.2109184950773559
497,0.2064680229053647
498,0.2020175507333735
499,0.1975670785613824
500,0.1931166063893912
501,0.1943618757892319
502,0.2023747330960853
503,0.2103875904029388
504,0.2184004477097921
505,0.2264133050166455
506,0.2344261623234989
507,0.2424390196303523
508,0.2504518769372057
509,0.2584647342440591
510,0.2594133011854531
511,0.2579566003616637
512,0.2564998995378742
513,0.2550431987140848
514,0.2535864978902954
515,0.2521297970665059
516,0.2506730962427165
517,0.2492163954189270
518,0.2477596945951376
519,0.2463029937713481
520,0.2476786740331492
521,0.2497982119537921
522,0.2519177498744350
523,0.2540372877950779
524,0.2561568257157207
525,0.2582763636363636
526,0.2603959015570065
527,0.2625154394776494
528,0.2646349773982923
529,0.2667545153189352
530,0.2670747739602170
531,0.2670446353224834
532,0.2670144966847499
533,0.2669843580470163
534,0.2669542194092827
535,0.2669240807715491
536,0.2668939421338156
537,0.2668638034960820
538,0.2668336648583484
539,0.2668035262206148
540,0.2635624811652434
541,0.2598959819186337
542,0.2562294826720240
543,0.2525629834254143
544,0.2488964841788046
545,0.2452299849321948
546,0.2415634856855851
547,0.2378969864389754
548,0.2342304871923656
549,0.2305639879457559
550,0.2295279096152028
551,0.2286959156660679
552,0.2278639217169330
553,0.2270319277677981
554,0.2261999338186631
555,0.2253679398695282
556,0.2245359459203933
557,0.2237039519712584
558,0.2228719580221235
559,0.2220399640729886
560,0.2234358951175407
561,0.2289512658227848
562,0.2344666365280290
563,0.2399820072332731
564,0.2454973779385173
565,0.2510127486437614
566,0.2565281193490056
567,0.2620434900542497
568,0.2675588607594939
569,0.2730742314647380
570,0.2749324359618280
571,0.2712358011049722
572,0.2675391662481164
573,0.2638425313912605
574,0.2601458965344047
575,0.2564492616775489
576,0.2527526268206930
577,0.2490559919638372
578,0.2453593571069814
579,0.2416627222501255
580,0.2419398694123556
581,0.2472336916122552
582,0.2525275138121547
583,0.2578213360120542
584,0.2631151582119537
585,0.2684089804118532
586,0.2737028026117528
587,0.2789966248116523
588,0.2842904470115518
589,0.2895842692114514
590,0.2912086705748866
591,0.2889677477307112
592,0.2867268248865357
593,0.2844859020423601
594,0.2822449791981847
595,0.2800040563540092
596,0.2777631335098337
597,0.2755222106656582
598,0.2732812878214827
599,0.2710403649773072
600,0.2687994421331317
601,0.2711714816675037
602,0.2739941838272224
603,0.2768168859869412
604,0.2796395881466599
605,0.2824622903063786
606,0.2852849924660974
607,0.2881076946258162
608,0.2909303967855350
609,0.2937530989452537
610,0.2965758011049724
611,0.2876048422744624
612,0.2780910789632308
613,0.2685773156519992
614,0.2590635523407676
615,0.2495497890295360
616,0.2400360257183044
617,0.2305222624070728
618,0.2210084990958412
619,0.2114947357846096
620,0.2020044299347061
621,0.2042193972877950
622,0.2064343646408839
623,0.2086493319939728
624,0.2108642993470617
625,0.2130792667001506
626,0.2152942340532395
627,0.2175092014063284
628,0.2197241687594173
629,0.2219391361125062
630,0.2241541034655951
631,0.2263690708186840
632,0.2285840381717729
633,0.2307990055248618
634,0.2330139728779507
635,0.2352289402310396
636,0.2374439075841285
637,0.2396588749372174
638,0.2418738422903063
639,0.2440888096433952
640,0.2456172087745841
641,0.2403694780635402
642,0.2351217473524963
643,0.2298740166414525
644,0.2246262859304086
645,0.2193785552193647
646,0.2141308245083209
647,0.2088830937972770
648,0.2036353630862331
649,0.1983876323751893
650,0.1931399016641454
651,0.1923986137619285
652,0.1958842993470617
653,0.1993699849321948
654,0.2028556705173279
655,0.2063413561024610
656,0.2098270416875942
657,0.2133127272727273
658,0.2167984128578604
659,0.2202840984429936
660,0.2237697840281267
661,0.2264665193370166
662,0.2285458764439980
663,0.2306252335509795
664,0.2327045906579609
665,0.2347839477649423
666,0.2368633048719237
667,0.2389426619789051
668,0.2410220190858865
669,0.2431013761928679
670,0.2451807332998493
671,0.2440031344183243
672,0.2407079766927868
673,0.2374128189672493
674,0.2341176612417118
675,0.2308225035161743
676,0.2275273457906369
677,0.2242321880650994
678,0.2209370303395619
679,0.2176418726140244
680,0.2143467148884869
681,0.2148832144650930
682,0.2174648317428429
683,0.2200464490205928
684,0.2226280662983426
685,0.2252096835760925
686,0.2277913008538423
687,0.2303729181315922
688,0.2329545354093421
689,0.2355361526870919
690,0.2381177699648418
691,0.2365542595941330
692,0.2331887783805505
693,0.2298232971669680
694,0.2264578159533855
695,0.2230923347398030
696,0.2197268535262205
697,0.2163613723126380
698,0.2129958910990555
699,0.2096304098854730
700,0.2062649286718905
701,0.2023987035251257
702,0.1983592735454836
703,0.1943198435658415
