EXMPC,,,,,,
WAC,,,,,,
G01,,,,,,
440,,,,,,
25,,,,,,
nm,,,,,,
Angular Dependence,,,,,,
Wavelengths,0,8,16,24,32,40
388.9,-0.08346,-0.08899,-0.09494,-0.09862,-0.09879,-0.09959
389.27,-0.08205,-0.08269,-0.08799,-0.09766,-0.09888,-0.09533
389.65,-0.08173,-0.08068,-0.08873,-0.0959,-0.09668,-0.09424
390.02,-0.08012,-0.08229,-0.08595,-0.09359,-0.09449,-0.0869
390.39,-0.07844,-0.07959,-0.08298,-0.09172,-0.09182,-0.07738
390.76,-0.07617,-0.08117,-0.07955,-0.08821,-0.08833,-0.06942
391.13,-0.0719,-0.07866,-0.07554,-0.08454,-0.08524,-0.0592
391.5,-0.0692,-0.0768,-0.07338,-0.07849,-0.07914,-0.0441
391.88,-0.06879,-0.07891,-0.07454,-0.07605,-0.07593,-0.03046
392.25,-0.06831,-0.07805,-0.07249,-0.0745,-0.07582,-0.01043
392.62,-0.07034,-0.07698,-0.07251,-0.07501,-0.07708,0.01228
392.99,-0.06993,-0.07859,-0.07296,-0.07283,-0.07468,0.03923
393.36,-0.06921,-0.07359,-0.07015,-0.07271,-0.07153,0.07249
393.73,-0.0737,-0.07494,-0.07209,-0.07585,-0.07032,0.10326
394.11,-0.07483,-0.07564,-0.07172,-0.0775,-0.07175,0.13519
394.48,-0.07423,-0.07166,-0.06976,-0.07808,-0.07055,0.17035
394.85,-0.07748,-0.0742,-0.07176,-0.08068,-0.07234,0.19743
395.22,-0.07357,-0.07034,-0.07116,-0.07635,-0.06804,0.2237
395.59,-0.07243,-0.06763,-0.07064,-0.07649,-0.06901,0.24857
395.96,-0.07227,-0.0711,-0.07335,-0.07509,-0.0717,0.26763
396.33,-0.06632,-0.06794,-0.06945,-0.06969,-0.06893,0.28587
396.71,-0.06295,-0.06442,-0.06814,-0.06809,-0.06598,0.29965
397.08,-0.06194,-0.06482,-0.06748,-0.06726,-0.06434,0.31167
397.45,-0.05595,-0.05673,-0.06124,-0.06175,-0.05837,0.32567
397.82,-0.05521,-0.0579,-0.05874,-0.0632,-0.05812,0.33122
398.19,-0.05403,-0.05619,-0.05849,-0.06042,-0.05553,0.33546
398.56,-0.04951,-0.05161,-0.05485,-0.05848,-0.05166,0.33843
398.93,-0.04879,-0.04976,-0.05334,-0.05901,-0.05086,0.34029
399.3,-0.04915,-0.05115,-0.05176,-0.05931,-0.05122,0.34005
399.68,-0.04634,-0.04976,-0.05067,-0.05671,-0.05027,0.33892
400.05,-0.04625,-0.05349,-0.05304,-0.0565,-0.04921,0.33567
400.42,-0.04364,-0.04972,-0.05049,-0.05269,-0.0457,0.33758
400.79,-0.04483,-0.05009,-0.05022,-0.05347,-0.04526,0.33812
401.16,-0.04451,-0.0486,-0.04874,-0.0516,-0.04039,0.3388
401.53,-0.04412,-0.04809,-0.04991,-0.04965,-0.03569,0.33845
401.9,-0.0429,-0.04588,-0.0487,-0.04672,-0.02672,0.34082
402.27,-0.04127,-0.04403,-0.04611,-0.04415,-0.01426,0.34394
402.64,-0.04027,-0.04169,-0.04475,-0.04279,4.00E-05,0.34848
403.01,-0.04072,-0.04308,-0.04602,-0.04331,0.01813,0.35113
403.38,-0.03796,-0.04128,-0.04404,-0.04094,0.0476,0.35545
403.75,-0.04066,-0.04135,-0.04466,-0.04228,0.07884,0.3583
404.12,-0.04171,-0.04239,-0.04305,-0.04186,0.1182,0.36231
404.5,-0.0425,-0.0434,-0.04361,-0.0417,0.1606,0.3653
404.87,-0.04392,-0.04255,-0.04498,-0.04259,0.20228,0.36843
405.24,-0.04388,-0.04299,-0.04521,-0.04384,0.24381,0.37348
405.61,-0.04393,-0.04289,-0.04476,-0.04427,0.2819,0.37857
405.98,-0.0433,-0.043,-0.04404,-0.04349,0.31351,0.38704
406.35,-0.04099,-0.04344,-0.04372,-0.04184,0.34069,0.40342
406.72,-0.04044,-0.04212,-0.04344,-0.04166,0.3589,0.4255
407.09,-0.03859,-0.04022,-0.04226,-0.03983,0.36965,0.45438
407.46,-0.03618,-0.03954,-0.04023,-0.03838,0.37884,0.48752
407.83,-0.03557,-0.03801,-0.03824,-0.03641,0.38422,0.52387
408.2,-0.03346,-0.03512,-0.03535,-0.03316,0.38916,0.56501
408.57,-0.03191,-0.03232,-0.033,-0.03123,0.39231,0.60629
408.94,-0.0303,-0.03072,-0.03117,-0.0294,0.39414,0.64391
409.31,-0.02863,-0.02994,-0.03087,-0.02791,0.39226,0.67727
409.68,-0.02702,-0.02942,-0.02974,-0.02673,0.39387,0.70892
410.05,-0.02625,-0.02885,-0.02888,-0.02431,0.39341,0.73309
