EXMPC,0,0,0,0,0,0
WAC,0,0,0,0,0,0
G05,0,0,0,0,0,0
610,0,0,0,0,0,0
10,0,0,0,0,0,0
nm,0,0,0,0,0,0
Angular Dependence,0,0,0,0,0,0
Wavelengths,0,8,16,24,32,40
360.9,-0.43898,-0.44385,-0.46588,-0.45999,-0.50399,-0.4511
361.27,-0.42389,-0.44246,-0.44678,-0.43643,-0.48292,-0.44098
361.65,-0.41332,-0.43381,-0.4384,-0.42266,-0.4726,-0.4353
362.02,-0.37783,-0.42193,-0.40598,-0.41014,-0.44359,-0.41783
362.4,-0.38928,-0.41908,-0.42466,-0.43242,-0.45047,-0.42916
362.77,-0.38196,-0.41399,-0.43146,-0.42039,-0.45191,-0.42731
363.15,-0.38855,-0.41051,-0.42457,-0.42549,-0.43314,-0.42323
363.52,-0.39982,-0.42767,-0.43411,-0.42921,-0.43901,-0.43638
363.9,-0.38381,-0.42031,-0.42155,-0.44295,-0.43228,-0.43104
364.27,-0.3751,-0.39598,-0.40582,-0.43424,-0.41883,-0.41817
364.64,-0.38218,-0.39449,-0.40806,-0.4407,-0.44741,-0.43379
365.02,-0.35917,-0.39186,-0.37523,-0.40855,-0.42645,-0.41777
365.39,-0.38269,-0.41681,-0.40234,-0.44154,-0.44826,-0.44554
365.77,-0.37929,-0.41918,-0.39618,-0.44223,-0.45084,-0.43891
366.14,-0.37451,-0.42503,-0.3887,-0.43118,-0.45026,-0.43428
366.52,-0.36705,-0.4151,-0.38225,-0.41215,-0.43221,-0.4284
366.89,-0.3724,-0.41765,-0.3781,-0.40804,-0.42685,-0.43493
367.26,-0.35203,-0.39312,-0.35866,-0.37225,-0.38344,-0.39824
367.64,-0.33785,-0.37132,-0.35502,-0.35711,-0.36543,-0.37337
368.01,-0.32186,-0.35266,-0.32942,-0.34303,-0.34608,-0.35213
368.39,-0.3061,-0.3317,-0.3207,-0.32389,-0.33947,-0.34973
368.76,-0.30314,-0.30909,-0.30628,-0.31254,-0.3259,-0.33707
369.13,-0.30558,-0.30252,-0.30138,-0.30888,-0.32659,-0.3354
369.51,-0.30112,-0.30745,-0.29825,-0.30574,-0.32354,-0.3184
369.88,-0.30448,-0.31155,-0.30558,-0.31623,-0.32073,-0.33425
370.25,-0.29671,-0.2981,-0.29575,-0.30978,-0.31092,-0.33049
370.63,-0.28356,-0.28147,-0.28353,-0.29465,-0.2919,-0.31322
371,-0.27265,-0.26562,-0.26548,-0.27778,-0.27399,-0.29442
371.38,-0.25965,-0.27118,-0.2685,-0.27833,-0.26896,-0.28711
371.75,-0.25292,-0.26199,-0.26738,-0.27486,-0.25828,-0.27584
372.12,-0.23956,-0.24723,-0.25622,-0.2634,-0.25422,-0.27184
372.5,-0.23036,-0.23803,-0.23865,-0.24638,-0.24635,-0.24204
372.87,-0.22625,-0.24433,-0.23885,-0.24011,-0.24597,-0.24808
373.24,-0.22645,-0.24384,-0.24472,-0.23899,-0.24734,-0.25236
373.62,-0.22432,-0.24308,-0.24311,-0.2387,-0.24369,-0.24922
373.99,-0.2139,-0.21822,-0.22761,-0.22605,-0.22884,-0.23775
374.36,-0.19679,-0.20764,-0.20879,-0.21703,-0.21837,-0.22959
374.74,-0.1942,-0.20108,-0.20075,-0.20323,-0.20376,-0.21606
375.11,-0.1957,-0.19614,-0.19834,-0.20338,-0.20485,-0.21816
375.48,-0.19551,-0.18824,-0.18733,-0.20079,-0.1969,-0.20301
375.86,-0.19107,-0.17861,-0.17355,-0.1899,-0.1876,-0.18833
376.23,-0.17775,-0.16713,-0.16431,-0.17665,-0.17836,-0.17697
376.6,-0.17808,-0.17027,-0.16566,-0.18108,-0.18179,-0.17745
376.98,-0.17972,-0.17332,-0.17357,-0.17619,-0.18292,-0.17317
377.35,-0.17238,-0.16563,-0.17086,-0.18041,-0.1849,-0.16801
377.72,-0.16209,-0.16091,-0.16707,-0.17174,-0.17917,-0.16201
378.1,-0.15576,-0.15605,-0.1667,-0.16654,-0.17775,-0.16031
378.47,-0.15334,-0.15303,-0.16616,-0.16101,-0.17685,-0.15831
378.84,-0.15788,-0.15224,-0.16856,-0.16884,-0.18144,-0.16006
379.22,-0.15735,-0.14973,-0.16481,-0.16088,-0.17525,-0.15735
