Wavelengths,R1R
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0014260546626951402
385,0.0002039901448433383
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.00240472554432447
400,0.0026281211278648157
401,0.003658672462883683
402,0.002549745117803611
403,0.00218980819408059
404,0.001889301078602487
405,0.002300684565223217
406,0.0023485849349085663
407,0.0032324327627485687
408,0.003062974889119966
409,0.0034485042245190225
410,0.004933273516558931
411,0.0026897921212053802
412,0.001307904669328199
413,0.00045012274377589066
414,0.0013527242990508616
415,0.002832407808647342
416,0.0026278350506926612
417,0.0036825949997493865
418,0.003349826657345823
419,0.005396124418345169
420,0.0028853143324224276
421,0.004433643638112609
422,0.004051495882798849
423,0.0035374903360775533
424,0.0030310173094564683
425,0.003652647241160972
426,0.0030503873688507164
427,0.0028488421141234736
428,0.0026925874343040174
429,0.003988409082617649
430,0.003706195906605549
431,0.002492189504624964
432,0.003493945107693581
433,0.005658753140846441
434,0.005783488035245594
435,0.0031714973337861746
436,0.003173337739098985
437,0.0028557395538192044
438,0.002989813385241025
439,0.0012381463970962368
440,0.001017701870749669
441,0.001063163624057539
442,0.0020329556276022804
443,0.0024758202832449684
444,0.00283733769354416
445,0.002093635647641993
446,0.0018041182087115653
447,0.0025477159307501075
448,0.0029816648140441058
449,0.0022700360253929547
450,0.0017559533729361286
451,0.001649432602100784
452,0.0011302603495029618
453,0.0014772132986356366
454,0.0013004766111222971
455,0.0011627132408848796
456,0.001291899805973881
457,0.0013455595483798872
458,0.0018828531168224019
459,0.002408578023289878
460,0.0024039492702534644
461,0.001895085901708382
462,0.0015740619154685645
463,0.0017221241758298153
464,0.0016568992671026244
465,0.0019735183808935893
466,0.0022271469280148374
467,0.002076231239046763
468,0.002373885964205328
469,0.002884221686426074
470,0.0029500368616852636
471,0.0029261833608440436
472,0.0028179998853084757
473,0.002288523951302155
474,0.0018414690336840986
475,0.0017251999550011656
476,0.0019561316665810224
477,0.0018154106393512956
478,0.0013807762812449902
479,0.00157181740817205
480,0.0016395454659905002
481,0.0016936533978036004
482,0.0015477928764333134
483,0.0014641068018035072
484,0.001303339793673665
485,0.001433914046733037
486,0.0012393436758069362
487,0.0012242849975687988
488,0.0011259543534459877
489,0.0012095168498671403
490,0.0012728620240206748
491,0.0014794437771418196
492,0.0014903376170559272
493,0.0013981399046737364
494,0.0016655906918209447
495,0.0017690150612138466
496,0.001907386353604533
497,0.0020217641058754877
498,0.0021258490597701202
499,0.0021704413022008463
500,0.0022969475526757963
501,0.002115729580542963
502,0.0019137961368131512
503,0.001633670203327968
504,0.0017211194747510322
505,0.0015519655836876865
506,0.0014227146870389494
