Wavelengths,G11
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0011645106189258716
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0022285322648764104
433,0.0020894047976740093
434,0.0
435,0.0
436,0.0
437,5.372230064073786e-05
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0012837943518149064
452,0.004542518209717412
453,0.0020480282453681064
454,0.0
455,0.0
456,0.0
457,0.0
458,0.007377758419014672
459,0.008117740872197738
460,0.006710255810392992
461,0.0
462,0.0
463,0.0
464,4.190189360666652e-05
465,0.0007512962579465038
466,0.002482124918607406
467,0.0
468,0.0
469,0.0030441381886293106
470,0.005412462450562758
471,0.005790672419096659
472,0.002531217929917753
473,0.00022516461030706706
474,0.0
475,0.0020876363804605918
476,0.00461236272590709
477,0.008004700313764025
478,0.01071529438460958
479,0.011170802098595722
480,0.008308848327456642
481,0.006356401106899113
482,0.0035829275363838432
483,0.0010347300101796666
484,0.0012745460922066255
485,0.002420790353434318
486,0.0013774475111747939
487,0.00031783002079406033
488,0.0
489,0.0
490,0.0016759801839250452
491,0.0031966114160854433
492,0.0036064957323837434
493,0.005112351074374093
494,0.004007319996423543
495,0.004338433772447161
496,0.002701472940029792
497,0.004131206351504577
498,0.0016299055489471693
499,0.0013829686298036416
500,0.00030637011479934086
501,0.0012095481799554457
502,0.003086290304503845
503,0.005000517751490661
504,0.0051216132128506205
505,0.004861248077544482
506,0.00437419684556495
507,0.0046825426266101965
508,0.0036406867503824087
509,0.002594985873538164
510,0.0018153448989506808
511,0.002471851796567868
512,0.0036151733119065103
513,0.004854104261453457
514,0.006277835186809509
515,0.0058047551351359285
516,0.0054232931648651814
517,0.004642778892128866
518,0.002560462691304964
519,0.0029813060090807296
520,0.002803557036778648
521,0.004214363320918081
522,0.00567955451669183
523,0.005221850851362494
524,0.00401027505528981
525,0.00402296923115396
526,0.004218185513164449
527,0.004292931140737972
528,0.005623965952560712
529,0.004917738714857396
530,0.00420395481415427
531,0.0052386462048951065
532,0.004865290410960121
533,0.0041629008956993166
534,0.0030367121223493793
535,0.004665374882392046
536,0.004689982570768308
537,0.003393952980172994
