EXMPC,0,0,0,0,0,0
WAC,0,0,0,0,0,0
C03,0,0,0,0,0,0
440,0,0,0,0,0,0
120,0,0,0,0,0,0
nm,0,0,0,0,0,0
Angular Dependence,0,0,0,0,0,0
Wavelengths,0,8,16,24,32,40
360.15,0.00519,-0.00847,-0.0398,-0.05297,0.00159,0.21441
360.52,0.01225,-0.029,-0.03339,-0.0747,0.02998,0.22871
360.9,-0.00075,-0.03909,-0.0438,-0.07593,0.04359,0.23363
361.27,0.00866,-0.03303,-0.03298,-0.06197,0.07812,0.25941
361.65,0.00726,-0.04014,-0.04035,-0.05161,0.10611,0.2769
362.02,0.02281,-0.02421,-0.00867,-0.02065,0.1472,0.29089
362.4,0.03228,-0.01914,-0.0002,-0.00315,0.18904,0.31431
362.77,0.03242,-0.019,0.01574,0.00543,0.21926,0.34024
363.15,0.03334,-0.01015,0.00469,0.02094,0.23894,0.36112
363.52,0.04803,0.00382,-0.00333,0.02837,0.26341,0.38074
363.9,0.05484,0.01485,0.00153,0.03319,0.2719,0.40524
364.27,0.07217,0.03089,0.01519,0.04608,0.28497,0.44755
364.64,0.06961,0.02715,-0.00042,0.03464,0.2789,0.46245
365.02,0.05502,0.01076,-0.00861,0.03256,0.26557,0.48711
365.39,0.04585,0.01541,-0.00924,0.0339,0.26053,0.49146
365.77,0.05425,0.031,0.0024,0.03612,0.27192,0.49961
366.14,0.05684,0.0323,0.0089,0.05183,0.2923,0.50724
366.52,0.0498,0.02488,0.00941,0.06828,0.31128,0.50769
366.89,0.02763,0.00749,-0.00528,0.07466,0.32546,0.49064
367.26,0.02425,0.00708,-0.00252,0.10115,0.35761,0.50155
367.64,0.03563,0.01373,0.00221,0.12919,0.39881,0.51166
368.01,0.0487,0.02517,0.00417,0.16543,0.42892,0.52289
368.39,0.03555,0.01216,0.0045,0.18717,0.46127,0.52665
368.76,0.02058,0.00646,0.00529,0.21642,0.48772,0.53082
369.13,0.02298,0.00183,0.00311,0.23236,0.51727,0.53647
369.51,0.03259,0.01181,-0.00316,0.26767,0.54513,0.55058
369.88,0.0295,0.0004,-0.00044,0.28805,0.57614,0.55819
370.25,0.0208,0.00279,0.00795,0.29764,0.57778,0.55437
370.63,0.01163,-0.00247,0.00827,0.30846,0.59424,0.55356
371,0.02637,0.01742,0.01534,0.35043,0.60797,0.55662
371.38,0.04516,0.02088,0.03284,0.38205,0.61583,0.56953
371.75,0.0503,0.03281,0.05108,0.42968,0.62636,0.57701
372.12,0.04198,0.02268,0.08576,0.45676,0.63754,0.57507
372.5,0.02902,0.02631,0.11013,0.49859,0.64254,0.57847
372.87,0.03272,0.02327,0.14279,0.54329,0.65664,0.58531
373.24,0.04541,0.02696,0.1815,0.5894,0.66604,0.59494
373.62,0.02959,0.02779,0.22635,0.61835,0.66797,0.59997
373.99,0.02373,0.03705,0.27437,0.65099,0.665,0.59045
374.36,0.02789,0.04869,0.33098,0.67372,0.66995,0.59145
374.74,0.04252,0.06875,0.38655,0.69486,0.67036,0.59475
375.11,0.06233,0.09145,0.44575,0.70402,0.65812,0.59006
375.48,0.06809,0.10662,0.49781,0.71454,0.6688,0.58821
375.86,0.07309,0.12888,0.55772,0.72019,0.66797,0.58691
376.23,0.11405,0.16985,0.61111,0.73166,0.68126,0.59753
376.6,0.14472,0.22035,0.6534,0.73547,0.69627,0.61083
376.98,0.18045,0.27858,0.68576,0.74151,0.69506,0.60845
377.35,0.23931,0.34862,0.71909,0.74207,0.70312,0.61837
377.72,0.30393,0.42124,0.73723,0.74467,0.71911,0.61999
378.1,0.3856,0.50686,0.74996,0.74765,0.71852,0.62221
378.47,0.47173,0.58338,0.76516,0.75576,0.72822,0.62284
378.84,0.5437,0.6394,0.77004,0.76452,0.73032,0.61629
379.22,0.62294,0.69368,0.77985,0.76903,0.7317,0.61429
379.59,0.69246,0.73107,0.78718,0.76278,0.73955,0.61825
379.96,0.74417,0.7646,0.78824,0.7725,0.74307,0.61711
380.33,0.7942,0.78762,0.7895,0.77718,0.74206,0.62251
380.71,0.82365,0.80185,0.79473,0.77681,0.73855,0.62207
381.08,0.84671,0.81096,0.79258,0.77894,0.73387,0.62493
381.45,0.85318,0.8152,0.79348,0.77465,0.72962,0.63363
