EXMPC,0,0,0,0,0,0
WAC,0,0,0,0,0,0
C01,0,0,0,0,0,0
640,0,0,0,0,0,0
100,0,0,0,0,0,0
nm,0,0,0,0,0,0
Angular Dependence,0,0,0,0,0,0
Wavelengths,0,8,16,24,32,40
360.15,-0.16756,-0.18587,-0.21348,-0.17964,-0.19074,-0.20402
360.52,-0.17325,-0.18442,-0.21776,-0.17819,-0.19862,-0.2016
360.9,-0.17371,-0.20969,-0.21815,-0.18303,-0.20262,-0.20841
361.27,-0.17577,-0.19744,-0.19829,-0.19032,-0.19133,-0.20939
361.65,-0.17528,-0.20314,-0.20378,-0.19065,-0.19732,-0.20922
362.02,-0.15788,-0.18188,-0.17115,-0.17074,-0.17621,-0.18142
362.4,-0.14365,-0.17162,-0.1464,-0.16706,-0.16396,-0.17239
362.77,-0.12271,-0.15463,-0.14062,-0.15448,-0.1495,-0.14915
363.15,-0.13609,-0.15635,-0.14063,-0.16035,-0.15196,-0.14893
363.52,-0.14038,-0.14589,-0.14922,-0.15362,-0.13946,-0.14623
363.9,-0.14124,-0.14637,-0.15269,-0.1423,-0.14167,-0.14948
364.27,-0.12271,-0.12191,-0.12629,-0.11749,-0.12577,-0.13936
364.64,-0.13433,-0.11589,-0.1266,-0.12949,-0.12981,-0.14807
365.02,-0.14705,-0.11327,-0.14443,-0.1216,-0.13625,-0.14621
365.39,-0.1438,-0.13451,-0.13965,-0.12172,-0.13675,-0.1538
365.77,-0.12087,-0.12092,-0.14194,-0.11036,-0.12318,-0.14892
366.14,-0.11598,-0.1131,-0.12931,-0.10982,-0.12298,-0.13645
366.52,-0.09746,-0.10923,-0.12754,-0.11069,-0.11043,-0.12882
366.89,-0.10824,-0.12611,-0.13801,-0.12096,-0.11276,-0.12666
367.26,-0.1021,-0.13372,-0.14324,-0.10847,-0.10971,-0.12287
367.64,-0.08877,-0.12416,-0.12279,-0.106,-0.09642,-0.1207
368.01,-0.09218,-0.09861,-0.10979,-0.09853,-0.08673,-0.10753
368.39,-0.09545,-0.10098,-0.1009,-0.10498,-0.08677,-0.09603
368.76,-0.09125,-0.10545,-0.10723,-0.10466,-0.08155,-0.09601
369.13,-0.09708,-0.10935,-0.1083,-0.09824,-0.08851,-0.09659
369.51,-0.09317,-0.09906,-0.10877,-0.08975,-0.09251,-0.09483
369.88,-0.09641,-0.10469,-0.11116,-0.1023,-0.10498,-0.10005
370.25,-0.09561,-0.09873,-0.11365,-0.10402,-0.09754,-0.08899
370.63,-0.09132,-0.11165,-0.12359,-0.10663,-0.1032,-0.09673
371,-0.08193,-0.10633,-0.11846,-0.09641,-0.09485,-0.09603
371.38,-0.08018,-0.10301,-0.1064,-0.09257,-0.09327,-0.08662
371.75,-0.07545,-0.10115,-0.08905,-0.09404,-0.08905,-0.0774
372.12,-0.07847,-0.11117,-0.08875,-0.10327,-0.098,-0.07895
372.5,-0.07618,-0.11088,-0.08881,-0.1067,-0.09661,-0.07916
372.87,-0.07102,-0.11412,-0.08645,-0.10284,-0.10068,-0.08565
373.24,-0.06738,-0.09869,-0.07803,-0.09225,-0.09588,-0.07824
373.62,-0.07726,-0.09642,-0.08523,-0.09844,-0.10448,-0.0778
373.99,-0.07408,-0.08861,-0.09294,-0.09462,-0.10541,-0.08259
374.36,-0.07165,-0.0816,-0.1,-0.08665,-0.09904,-0.08386
374.74,-0.0634,-0.06136,-0.09311,-0.08235,-0.08218,-0.07883
375.11,-0.06499,-0.05627,-0.0855,-0.06724,-0.07107,-0.07162
375.48,-0.07679,-0.06113,-0.09563,-0.06906,-0.0851,-0.07101
375.86,-0.08311,-0.07232,-0.09921,-0.07935,-0.08943,-0.0725
376.23,-0.07093,-0.06932,-0.08633,-0.06865,-0.08563,-0.05991
376.6,-0.07635,-0.07216,-0.08348,-0.06965,-0.08325,-0.05874
376.98,-0.08431,-0.07975,-0.08837,-0.07519,-0.08678,-0.06667
377.35,-0.08195,-0.08727,-0.08715,-0.06887,-0.08732,-0.06598
377.72,-0.06958,-0.08011,-0.08156,-0.0645,-0.08351,-0.06361
378.1,-0.06012,-0.0704,-0.06932,-0.0564,-0.06589,-0.05617
378.47,-0.05382,-0.06239,-0.06825,-0.05295,-0.06212,-0.05247
