Wavelengths,R2G
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0003462018885877064
386,0.0007028438598098896
387,0.0011177080008582057
388,0.0015064635734328214
389,0.0012973348811795072
390,0.0015140419904423395
391,0.0018113338825903357
392,0.002331054097312588
393,0.0020524660096451833
394,0.002182777982298519
395,0.0023722722209015804
396,0.002666914341718609
397,0.0026676480514662335
398,0.0026311495509602155
399,0.0017202129722541034
400,0.001587248413582
401,0.0014413899712300417
402,0.0017799971050907338
403,0.0022113164056243345
404,0.0018639831189805874
405,0.0016749776443129127
406,0.0021219864607708036
407,0.002672835773879884
408,0.002282011757171607
409,0.001524074660482701
410,0.0019567468836987094
411,0.0023939586378578146
412,0.002293322782576126
413,0.0021080567639903997
414,0.003262962568255651
415,0.0040175007720943895
416,0.0036187324704085038
417,0.0035982337795181243
418,0.0036123065375929073
419,0.0035561588663543414
420,0.003462312964765681
421,0.002786750910344719
422,0.0018839905861674478
423,0.0019316398112269881
424,0.00200953374942404
425,0.00196269645660159
426,0.0025173712015288496
427,0.0024763144982907644
428,0.001962181735963056
429,0.002160312134108107
430,0.002804287013391694
431,0.0026220076577431694
432,0.001918666114832159
433,0.00224326356954882
434,0.0023464130469996103
435,0.0021046830986090606
436,0.0017704271889893736
437,0.0016647827382425217
438,0.002200340730975808
439,0.002041840109132757
440,0.002135899386066264
441,0.0025771893470380907
442,0.0025768443881041395
443,0.0026070831125132384
444,0.002445890079125555
445,0.002449063250302418
446,0.0023677050797232127
447,0.002131994093618849
448,0.002103981174053211
449,0.002463434457983797
450,0.002960591882947033
451,0.002767712721032829
452,0.0023860831673705907
453,0.002304670893857472
454,0.0021121207578354384
455,0.0020611447442052916
456,0.0017788079962431371
457,0.0015815852370852294
458,0.0017399658637675575
459,0.0019016229133163858
460,0.0020036377408885
461,0.0020813624610726117
462,0.0023116548924013275
463,0.0023574620239074483
464,0.0025434476580116776
465,0.002805840753468913
466,0.003053661546992476
467,0.003117924221435132
468,0.003087113506411753
469,0.0032018533471531124
470,0.003312071201695175
471,0.0034155002445916505
472,0.0036733437373431014
473,0.0036411776130430805
474,0.003596507973867841
475,0.0036383766472798816
476,0.003777077080312634
477,0.004027496677988668
478,0.004269899501165201
479,0.00444653321235187
480,0.004321339887787237
481,0.004394973157607005
482,0.004515288114979092
483,0.004586008401087826
484,0.004579901960532235
485,0.004845220174141127
486,0.005215232752531702
487,0.005435903631689876
488,0.005580110618705202
489,0.005730060116172804
490,0.006062534336798608
491,0.006372168097168817
492,0.0066250723747603105
493,0.007140900996301797
494,0.0077555353868817315
495,0.008865949840205242
496,0.011280873238158103
497,0.020256138576120897
498,0.05308154184787116
499,0.15326117530082503
500,0.3306117425103138
501,0.5180437909212002
502,0.6536367047282486
