AUPE,,,
HRC,,,
blank,,,
NA,,,
NA,,,
nm,,,
Hoya-C5000 IR Cut,,,
Wavelengths,0,8,16
516,0.896323549,0.896323549,0.896323549
517,0.895575514,0.895575514,0.895575514
518,0.89482748,0.89482748,0.89482748
519,0.894079445,0.894079445,0.894079445
520,0.89333141,0.89333141,0.89333141
521,0.892583375,0.892583375,0.892583375
522,0.89183534,0.89183534,0.89183534
523,0.891087306,0.891087306,0.891087306
524,0.890339271,0.890339271,0.890339271
525,0.889591236,0.889591236,0.889591236
526,0.888843201,0.888843201,0.888843201
527,0.888095166,0.888095166,0.888095166
528,0.887347132,0.887347132,0.887347132
529,0.886599097,0.886599097,0.886599097
530,0.885851062,0.885851062,0.885851062
531,0.884870317,0.884870317,0.884870317
532,0.883557921,0.883557921,0.883557921
533,0.882245526,0.882245526,0.882245526
534,0.880933131,0.880933131,0.880933131
535,0.879620736,0.879620736,0.879620736
536,0.878308341,0.878308341,0.878308341
537,0.876995946,0.876995946,0.876995946
538,0.875683551,0.875683551,0.875683551
539,0.874371156,0.874371156,0.874371156
540,0.873058761,0.873058761,0.873058761
541,0.871746366,0.871746366,0.871746366
542,0.870433971,0.870433971,0.870433971
543,0.868977638,0.868977638,0.868977638
544,0.866874684,0.866874684,0.866874684
545,0.864771729,0.864771729,0.864771729
546,0.862668775,0.862668775,0.862668775
547,0.860565821,0.860565821,0.860565821
548,0.858462866,0.858462866,0.858462866
549,0.856359912,0.856359912,0.856359912
550,0.854256958,0.854256958,0.854256958
551,0.852154003,0.852154003,0.852154003
552,0.850051049,0.850051049,0.850051049
553,0.847948094,0.847948094,0.847948094
554,0.845452291,0.845452291,0.845452291
555,0.842537955,0.842537955,0.842537955
556,0.83962362,0.83962362,0.83962362
557,0.836709284,0.836709284,0.836709284
558,0.833794948,0.833794948,0.833794948
559,0.830880612,0.830880612,0.830880612
560,0.827966276,0.827966276,0.827966276
561,0.82505194,0.82505194,0.82505194
562,0.822137604,0.822137604,0.822137604
563,0.819223268,0.819223268,0.819223268
564,0.815823267,0.815823267,0.815823267
565,0.812032011,0.812032011,0.812032011
566,0.808240755,0.808240755,0.808240755
567,0.804449499,0.804449499,0.804449499
568,0.800658243,0.800658243,0.800658243
569,0.796866987,0.796866987,0.796866987
570,0.793075731,0.793075731,0.793075731
571,0.789284475,0.789284475,0.789284475
572,0.784674387,0.784674387,0.784674387
573,0.779991107,0.779991107,0.779991107
574,0.775307827,0.775307827,0.775307827
575,0.770624547,0.770624547,0.770624547
576,0.765941266,0.765941266,0.765941266
577,0.761257986,0.761257986,0.761257986
578,0.756563374,0.756563374,0.756563374
579,0.751645238,0.751645238,0.751645238
580,0.746727102,0.746727102,0.746727102
581,0.741808966,0.741808966,0.741808966
582,0.73689083,0.73689083,0.73689083
583,0.731421733,0.731421733,0.731421733
584,0.725328618,0.725328618,0.725328618
585,0.719235504,0.719235504,0.719235504
586,0.713142389,0.713142389,0.713142389
587,0.707049274,0.707049274,0.707049274
588,0.70095616,0.70095616,0.70095616
589,0.694863045,0.694863045,0.694863045
590,0.688628067,0.688628067,0.688628067
591,0.682299816,0.682299816,0.682299816
592,0.675971565,0.675971565,0.675971565
593,0.669643314,0.669643314,0.669643314
594,0.663315063,0.663315063,0.663315063
595,0.656986812,0.656986812,0.656986812
596,0.650658561,0.650658561,0.650658561
597,0.64433031,0.64433031,0.64433031
598,0.638002058,0.638002058,0.638002058
599,0.631673807,0.631673807,0.631673807
600,0.625345556,0.625345556,0.625345556
601,0.619017305,0.619017305,0.619017305
602,0.612765825,0.612765825,0.612765825
603,0.606629962,0.606629962,0.606629962
604,0.600494098,0.600494098,0.600494098
605,0.594358235,0.594358235,0.594358235
606,0.588222371,0.588222371,0.588222371
607,0.582086508,0.582086508,0.582086508
608,0.575950645,0.575950645,0.575950645
609,0.569814781,0.569814781,0.569814781
610,0.563678918,0.563678918,0.563678918
611,0.557543054,0.557543054,0.557543054
612,0.551407191,0.551407191,0.551407191
613,0.545271328,0.545271328,0.545271328
614,0.539135464,0.539135464,0.539135464
615,0.532999601,0.532999601,0.532999601
616,0.526863737,0.526863737,0.526863737
617,0.520727874,0.520727874,0.520727874
618,0.514592011,0.514592011,0.514592011
619,0.508482514,0.508482514,0.508482514
620,0.502389399,0.502389399,0.502389399
621,0.496296285,0.496296285,0.496296285
622,0.49020317,0.49020317,0.49020317
623,0.484110055,0.484110055,0.484110055
624,0.47801694,0.47801694,0.47801694
625,0.471923826,0.471923826,0.471923826
626,0.465830711,0.465830711,0.465830711
627,0.459737596,0.459737596,0.459737596
628,0.453644481,0.453644481,0.453644481
629,0.447551367,0.447551367,0.447551367
630,0.441458252,0.441458252,0.441458252
631,0.435365137,0.435365137,0.435365137
632,0.429272022,0.429272022,0.429272022
633,0.422595732,0.422595732,0.422595732
634,0.415844117,0.415844117,0.415844117
635,0.409092503,0.409092503,0.409092503
636,0.402340888,0.402340888,0.402340888
637,0.395589273,0.395589273,0.395589273
638,0.388837658,0.388837658,0.388837658
639,0.382086044,0.382086044,0.382086044
640,0.375486423,0.375486423,0.375486423
641,0.369320964,0.369320964,0.369320964
642,0.363155504,0.363155504,0.363155504
643,0.356990045,0.356990045,0.356990045
644,0.350824585,0.350824585,0.350824585
645,0.344659126,0.344659126,0.344659126
646,0.338493666,0.338493666,0.338493666
647,0.332328207,0.332328207,0.332328207
648,0.326162748,0.326162748,0.326162748
649,0.319997288,0.319997288,0.319997288
650,0.314017707,0.314017707,0.314017707
651,0.308394724,0.308394724,0.308394724
652,0.302771741,0.302771741,0.302771741
653,0.297148759,0.297148759,0.297148759
654,0.291525776,0.291525776,0.291525776
655,0.285902793,0.285902793,0.285902793
656,0.280279811,0.280279811,0.280279811
657,0.274656828,0.274656828,0.274656828
658,0.269033845,0.269033845,0.269033845
659,0.263410862,0.263410862,0.263410862
660,0.25778788,0.25778788,0.25778788
661,0.252164897,0.252164897,0.252164897
662,0.246541914,0.246541914,0.246541914
663,0.240918932,0.240918932,0.240918932
664,0.23572501,0.23572501,0.23572501
665,0.230806875,0.230806875,0.230806875
666,0.225888739,0.225888739,0.225888739
667,0.220970604,0.220970604,0.220970604
668,0.216052468,0.216052468,0.216052468
669,0.211134333,0.211134333,0.211134333
670,0.206216197,0.206216197,0.206216197
671,0.201298062,0.201298062,0.201298062
672,0.196379926,0.196379926,0.196379926
673,0.192095652,0.192095652,0.192095652
674,0.188585948,0.188585948,0.188585948
675,0.185076243,0.185076243,0.185076243
676,0.181566539,0.181566539,0.181566539
677,0.178056834,0.178056834,0.178056834
678,0.17454713,0.17454713,0.17454713
679,0.171037426,0.171037426,0.171037426
680,0.167527721,0.167527721,0.167527721
681,0.164018017,0.164018017,0.164018017
682,0.160479567,0.160479567,0.160479567
683,0.156869316,0.156869316,0.156869316
684,0.153259065,0.153259065,0.153259065
685,0.149648814,0.149648814,0.149648814
686,0.146038563,0.146038563,0.146038563
687,0.142428313,0.142428313,0.142428313
688,0.138818062,0.138818062,0.138818062
689,0.135207811,0.135207811,0.135207811
690,0.13159756,0.13159756,0.13159756
691,0.127987309,0.127987309,0.127987309
692,0.124377059,0.124377059,0.124377059
693,0.121412472,0.121412472,0.121412472
694,0.118887669,0.118887669,0.118887669
695,0.116362866,0.116362866,0.116362866
696,0.113838063,0.113838063,0.113838063
697,0.11131326,0.11131326,0.11131326
698,0.108788457,0.108788457,0.108788457
699,0.106263654,0.106263654,0.106263654
700,0.103738851,0.103738851,0.103738851
701,0.105792227,0.105792227,0.105792227
702,0.105921528,0.105921528,0.105921528
703,0.105262129,0.105262129,0.105262129
704,0.104602729,0.104602729,0.104602729
705,0.103943329,0.103943329,0.103943329
706,0.10328393,0.10328393,0.10328393
707,0.10262453,0.10262453,0.10262453
708,0.10196513,0.10196513,0.10196513
709,0.101305731,0.101305731,0.101305731
710,0.100646331,0.100646331,0.100646331
711,0.099986931,0.099986931,0.099986931
712,0.099327532,0.099327532,0.099327532
713,0.098668132,0.098668132,0.098668132
714,0.098008732,0.098008732,0.098008732
715,0.097349332,0.097349332,0.097349332
716,0.096689933,0.096689933,0.096689933
717,0.096030533,0.096030533,0.096030533
718,0.095371133,0.095371133,0.095371133
719,0.094711734,0.094711734,0.094711734
720,0.094052334,0.094052334,0.094052334
721,0.093392934,0.093392934,0.093392934
722,0.092733535,0.092733535,0.092733535
723,0.092074135,0.092074135,0.092074135
724,0.091414735,0.091414735,0.091414735
725,0.090755336,0.090755336,0.090755336
726,0.090095936,0.090095936,0.090095936
727,0.089436536,0.089436536,0.089436536
728,0.088777137,0.088777137,0.088777137
729,0.088117737,0.088117737,0.088117737
730,0.087458337,0.087458337,0.087458337
731,0.086798937,0.086798937,0.086798937
732,0.086139538,0.086139538,0.086139538
733,0.085480138,0.085480138,0.085480138
734,0.084820738,0.084820738,0.084820738
735,0.084161339,0.084161339,0.084161339
