EXMPC,,,
EXMPCHRCfull,,,
Bayer,,,
NA,,,
NA,,,
nm,,,
On Semiconductor TND6114/D Technical Note,,,
Wavelengths,Red,Green,Blue
535,0.095092069,0.374058004,0.084943046
536,0.095669921,0.373806055,0.084943645
537,0.096247773,0.373554107,0.084944245
538,0.096825625,0.373302158,0.084944844
539,0.097403477,0.37305021,0.084945444
540,0.097981329,0.372401079,0.084821143
541,0.098322442,0.369472122,0.083979916
542,0.098154676,0.366543165,0.083138689
543,0.09798691,0.363614209,0.082297462
544,0.097819145,0.360685252,0.081456235
545,0.097651379,0.357756295,0.080615008
546,0.097483613,0.354827338,0.079773781
547,0.097315847,0.351898381,0.078932554
548,0.097148082,0.348969424,0.078091327
549,0.096980316,0.344541767,0.0772501
550,0.09681255,0.339828137,0.076288969
551,0.096320634,0.335172962,0.074774281
552,0.095219206,0.330627698,0.073259592
553,0.094117779,0.326082434,0.071744904
554,0.093016351,0.32153717,0.070230216
555,0.091914923,0.316991906,0.068715528
556,0.090813495,0.312446643,0.067200839
557,0.089712067,0.307901379,0.065686151
558,0.088610639,0.303356115,0.064171463
559,0.087509211,0.298802501,0.062656775
560,0.086701254,0.294040767,0.06138689
561,0.087012682,0.289279034,0.061050759
562,0.08732411,0.2845173,0.060714628
563,0.087635538,0.279755567,0.060378497
564,0.087946966,0.274993834,0.060042366
565,0.088258393,0.2702321,0.059706235
566,0.088569821,0.265470367,0.059370104
567,0.088881249,0.260708633,0.059033973
568,0.089192677,0.2559469,0.058697842
569,0.089504104,0.251185166,0.058361711
570,0.089815532,0.246423433,0.058367124
571,0.091766487,0.241681255,0.059469751
572,0.096110911,0.236967626,0.060572378
573,0.100455336,0.232253997,0.061675005
574,0.10479976,0.227540368,0.062777632
575,0.109144185,0.222826739,0.063880259
576,0.113488609,0.21845009,0.064982886
577,0.117833034,0.214536196,0.066085513
578,0.122177458,0.210622302,0.06718814
579,0.126774837,0.206708408,0.068411133
580,0.133702467,0.202794514,0.070742944
581,0.140630096,0.198880621,0.073074756
582,0.147557725,0.194966727,0.075406567
583,0.154485355,0.190563849,0.077738379
584,0.161412984,0.186018585,0.08007019
585,0.168666067,0.181473321,0.082402001
586,0.176748201,0.17735838,0.084733813
587,0.184830336,0.173767186,0.087065624
588,0.19291247,0.170175993,0.089397436
589,0.201303957,0.166584799,0.091729247
590,0.211810552,0.162993605,0.093344325
591,0.222317146,0.159402411,0.093260741
592,0.232823741,0.155811218,0.093177158
593,0.243330336,0.152220024,0.093093575
594,0.252952038,0.147946043,0.093009992
595,0.26254946,0.143653327,0.092926409
596,0.272146882,0.139360612,0.092842826
597,0.281744305,0.135067896,0.092759243
598,0.291341727,0.13077518,0.092675659
599,0.298110911,0.126482464,0.092592076
600,0.304846123,0.122535971,0.091800406
601,0.310446643,0.119303957,0.0895475
602,0.314892086,0.116071942,0.087294595
603,0.31933753,0.112839928,0.08504169
604,0.323782974,0.109607914,0.082788784
605,0.328228417,0.106375899,0.080535879
606,0.332673861,0.103143885,0.078282974
607,0.337119305,0.099911871,0.076030068
608,0.341564748,0.096653477,0.073777163
609,0.346029077,0.091939848,0.071524258
610,0.35057554,0.087226219,0.069271352
611,0.353843798,0.084281175,0.067494604
612,0.355956617,0.082934852,0.066148281
613,0.358069435,0.081588529,0.064801958
614,0.360182254,0.080242206,0.063455635
615,0.362295073,0.078895883,0.062109313
616,0.364407892,0.07754956,0.06076299
617,0.366520711,0.076203237,0.059416667
618,0.36863353,0.074856914,0.058070344
619,0.370746348,0.073510592,0.056724021
620,0.372374101,0.072164269,0.055377698
621,0.373229478,0.071341127,0.054520061
622,0.374084855,0.07093765,0.054054418
623,0.374940232,0.070534173,0.053588775
624,0.37579561,0.070130695,0.053123132
625,0.376650987,0.069727218,0.052657489
626,0.377506364,0.069323741,0.052191847
627,0.378361741,0.068920264,0.051726204
628,0.379217119,0.068516787,0.051260561
629,0.380072496,0.068113309,0.050794918
630,0.380927873,0.067709832,0.050329275
631,0.381480416,0.067306355,0.049863632
632,0.381817746,0.066902878,0.049368705
633,0.382155076,0.0664994,0.048864209
634,0.382492406,0.066095923,0.048359712
635,0.382829736,0.065692446,0.047855216
636,0.383167066,0.065288969,0.047350719
637,0.383504396,0.064885492,0.046846223
638,0.383841727,0.064482014,0.046341727
639,0.384179057,0.064078537,0.04583723
640,0.384516387,0.06367506,0.045332734
641,0.384590473,0.063271583,0.044828237
642,0.384499237,0.062868106,0.044323741
643,0.384408001,0.062464628,0.043819245
644,0.384316765,0.062061151,0.043314748
645,0.384225529,0.061657674,0.042810252
646,0.384134293,0.061254197,0.042305755
647,0.384043056,0.060850719,0.041801259
648,0.38395182,0.060447242,0.041296763
649,0.383860584,0.060043765,0.040792266
650,0.382893685,0.059448441,0.04008793
651,0.380958084,0.058640887,0.03916252
652,0.379022482,0.057833333,0.03823711
653,0.37708688,0.057025779,0.037311701
654,0.375151279,0.056218225,0.036386291
655,0.373215677,0.055410671,0.035460881
656,0.371280076,0.054603118,0.034535472
657,0.369344474,0.053795564,0.033610062
658,0.367408873,0.05298801,0.032684652
659,0.365473271,0.052180456,0.031759243
660,0.363792466,0.051372902,0.030833833
661,0.36236196,0.050565348,0.029908423
662,0.360931455,0.049757794,0.028983014
663,0.359500949,0.04895024,0.028057604
664,0.358070444,0.048142686,0.027132194
665,0.356639938,0.047335132,0.026206785
666,0.355209432,0.046527578,0.025281375
667,0.353778927,0.045720024,0.024355965
668,0.352348421,0.04491247,0.023430556
669,0.350917916,0.044104916,0.022505146
670,0.349906475,0.043297362,0.02199133
671,0.349260552,0.043003505,0.021836515
672,0.348614628,0.042926397,0.021681701
673,0.347968705,0.04284929,0.021526886
674,0.347322782,0.042772182,0.021372072
675,0.346676859,0.042695075,0.021217257
676,0.346030935,0.042617967,0.021062442
677,0.345385012,0.04254086,0.020907628
678,0.344739089,0.042463752,0.020752813
679,0.344093165,0.042386645,0.020597999
680,0.343447242,0.042309537,0.020443184
681,0.342801319,0.042232429,0.020463979
682,0.342155396,0.042377298,0.020548761
683,0.341509472,0.042546263,0.020633543
684,0.340863549,0.042715228,0.020718325
685,0.340217626,0.042884193,0.020803108
686,0.339571703,0.043053157,0.02088789
687,0.338925779,0.043222122,0.020972672
688,0.338279856,0.043391087,0.021057454
689,0.337633933,0.043560052,0.021142236
690,0.33698801,0.043729017,0.021227018
691,0.335827707,0.043897982,0.021889588
692,0.334507286,0.044594615,0.022732014
693,0.333186866,0.0453299,0.02357444
694,0.331866445,0.046065184,0.024416867
695,0.330546025,0.046800469,0.025259293
696,0.329225604,0.047535753,0.026101719
697,0.327905184,0.048271038,0.026944145
698,0.326584763,0.049006322,0.027786571
699,0.325264342,0.049741607,0.028628997
700,0.323943922,0.050476891,0.029471423
701,0.322623501,0.052370008,0.031502262
702,0.321778504,0.054566677,0.03384467
703,0.320952583,0.056763346,0.036187078
704,0.320126662,0.058960015,0.038529486
705,0.319300741,0.061156683,0.040871893
706,0.31847482,0.063353352,0.043214301
707,0.317648899,0.065550021,0.045556709
708,0.316822978,0.06774669,0.047899117
709,0.315997057,0.069943358,0.050241525
710,0.315171136,0.072140027,0.052583933
711,0.314345215,0.074336696,0.054926341
712,0.313519294,0.076533365,0.057268749
713,0.312693373,0.078730033,0.059611157
714,0.311867451,0.080926702,0.061953564
715,0.31104153,0.083123371,0.064295972
716,0.310215609,0.08532004,0.06663838
717,0.309389688,0.087516708,0.068980788
718,0.308563767,0.089713377,0.071323196
719,0.307737846,0.091910046,0.074157474
720,0.307794226,0.094930266,0.077458034
721,0.308261068,0.098333617,0.080758593
722,0.30872791,0.101736968,0.084059153
723,0.309194752,0.105140319,0.087359712
724,0.309661594,0.10854367,0.090660272
725,0.310128436,0.111947021,0.093960831
726,0.310595278,0.115350372,0.097261391
727,0.31106212,0.118753723,0.10056195
728,0.311528961,0.122157074,0.10386251
729,0.311995803,0.125560425,0.10716307
730,0.312462645,0.128963776,0.110463629
731,0.312691697,0.132367127,0.113807929
732,0.312888722,0.135770478,0.11797557
733,0.313085748,0.139173829,0.12214321
734,0.313282774,0.14257718,0.126310851
735,0.313479799,0.145980531,0.130478492
736,0.313676825,0.150472936,0.134646133
737,0.313873851,0.155091555,0.138813774
738,0.314070877,0.159710175,0.143111644
739,0.314267902,0.164328794,0.147601985
740,0.314464928,0.168947413,0.152092326
741,0.314661954,0.173497711,0.156582667
742,0.314858979,0.177263571,0.161073008
743,0.315056005,0.181029431,0.165563349
744,0.315253031,0.184795291,0.17005369
745,0.315450057,0.188561151,0.174544031
746,0.315647082,0.192327011,0.178852518
747,0.315844108,0.196092871,0.183146433
748,0.316041134,0.199858731,0.187440348
749,0.316238159,0.203624591,0.191321343
750,0.316435185,0.207390451,0.19492977
751,0.316632211,0.210637999,0.198538198
752,0.316829237,0.213852845,0.202146626
753,0.317026262,0.217067691,0.205755053
754,0.317223288,0.220282538,0.209363481
755,0.317420314,0.223497384,0.212744947
756,0.317617339,0.22671223,0.216064748
757,0.317814365,0.229927077,0.21938455
758,0.318011391,0.233141923,0.222704351
759,0.318208417,0.236356769,0.226024152
760,0.318405442,0.237863566,0.229343953
761,0.316941547,0.238946514,0.231240108
762,0.315426859,0.240029462,0.233092726
763,0.31391217,0.24111241,0.234945344
764,0.312397482,0.242195358,0.236797962
765,0.310882794,0.243278306,0.23865058
766,0.309368106,0.244361254,0.240071942
767,0.307853417,0.245444202,0.241486811
768,0.306338729,0.24652715,0.242901679
769,0.304824041,0.247610098,0.244316547
770,0.303309353,0.248693046,0.245115907
771,0.302542206,0.249674643,0.245789968
772,0.30177506,0.250158378,0.246464029
773,0.301007914,0.250642112,0.24713809
774,0.300240767,0.251125847,0.24781215
775,0.299473621,0.251609582,0.248486211
776,0.298706475,0.252093317,0.249160272
777,0.297939329,0.252577051,0.249834333
778,0.297172182,0.253060786,0.250508393
779,0.296405036,0.253544521,0.251182454
780,0.29563789,0.254028256,0.251745065
781,0.294870743,0.25451199,0.252289614
782,0.294103597,0.254995725,0.252834163
783,0.293336451,0.25547946,0.253378712
784,0.292569305,0.255963195,0.253923261
785,0.291802158,0.256446929,0.25446781
786,0.291035012,0.256930664,0.255012359
787,0.290267866,0.257414399,0.255556908
788,0.289500719,0.257898134,0.256101457
789,0.288733573,0.258381868,0.256646006
790,0.287966427,0.258806954,0.257126994
791,0.287080935,0.258302458,0.256600537
792,0.285795836,0.257797962,0.25607408
793,0.284510737,0.257293465,0.255547623
794,0.283225638,0.256788969,0.255021166
795,0.281940538,0.256284472,0.254494709
796,0.280655439,0.255779976,0.253968251
797,0.27937034,0.25527548,0.253441794
798,0.278085241,0.254770983,0.252915337
799,0.276800142,0.254266487,0.25238888
800,0.275515043,0.25376199,0.251862423
801,0.274229943,0.253257494,0.251335966
802,0.272944844,0.252752998,0.250809509
803,0.271659745,0.252248501,0.250283052
804,0.270374646,0.251744005,0.249756595
805,0.269089547,0.251239508,0.249230138
806,0.267804447,0.250735012,0.248703681
807,0.266519348,0.250230516,0.248177223
808,0.265234249,0.249726019,0.247650766
809,0.26394915,0.249221523,0.247124309
810,0.263884892,0.248766986,0.246778577
811,0.263885492,0.248683403,0.246442446
812,0.263886091,0.24859982,0.246106315
813,0.263886691,0.248516237,0.245770184
814,0.26388729,0.248432654,0.245434053
815,0.26388789,0.248349071,0.245097922
816,0.263888489,0.248265488,0.244761791
817,0.263889089,0.248181904,0.244425659
818,0.263889688,0.248098321,0.244089528
819,0.263890288,0.248014738,0.243753397
820,0.263666067,0.247805294,0.242757794
821,0.262151379,0.246873409,0.241748201
822,0.260636691,0.245941524,0.240738609
823,0.259122002,0.245009638,0.239729017
824,0.257607314,0.244077753,0.238719424
825,0.256092626,0.243145868,0.237709832
826,0.254577938,0.242213983,0.23670024
827,0.253063249,0.241282097,0.235690647
828,0.251548561,0.240350212,0.234681055
829,0.250033873,0.239418327,0.233671463
830,0.248309353,0.238486442,0.232661871
831,0.245616107,0.237089179,0.231564598
832,0.242922862,0.234816847,0.230302458
833,0.240229616,0.232544514,0.229040318
834,0.237536371,0.230272182,0.227778177
835,0.234843125,0.22799985,0.226516037
836,0.23214988,0.225727518,0.225253897
837,0.229456635,0.223455186,0.223991757
838,0.226763389,0.221846073,0.222729616
839,0.224070144,0.220520796,0.221467476
840,0.221551759,0.219195519,0.220205336
841,0.21970034,0.217870241,0.219038369
842,0.217848921,0.216544964,0.218028777
843,0.215997502,0.215219687,0.217019185
