filter_id,cwl,fwhm
HRC00, 550, 100
HRCR, 650, 50
HRCG, 550, 50
HRCB, 450, 50
LWAC1, 550, 100
LWAC2, 650, 50
LWAC3, 550, 50
LWAC4, 450, 50
LWAC5, 570, 12
LWAC6, 530, 15
LWAC7, 610, 10
LWAC8, 500, 20
LWAC9, 670, 12
LWAC10, 440, 25
LWAC11, 550, 100
RWAC1, 550, 100
RWAC2, 650, 50
RWAC3, 550, 50
RWAC4, 450, 50
RWAC5, 840, 25
RWAC6, 780, 20
RWAC7, 740, 15
RWAC8, 900, 30
RWAC9, 950, 50
RWAC10, 1000, 50
RWAC11, 550, 100
