PanCam_CT Measured ~2018 Aber. Uni.,,,,,,,,
Wavelength,MultiSpec,White,Red,Yellow,Turquoise,Blue,Light_Gray,Dark_Gray
371.81,19.895,28.934,10.422,11.226,11.854,26.125,11.678,5.554
372.18,19.754,28.776,10.36,11.216,11.908,26.145,11.66,5.582
372.55,19.694,28.723,10.586,11.201,11.973,26.308,11.909,5.579
372.92,19.411,28.618,10.172,11.36,12.028,26.391,11.872,5.615
373.29,19.232,28.843,10.307,11.651,12.188,26.556,11.811,5.686
373.67,19.205,28.379,10.135,11.482,12.259,26.536,11.604,5.715
374.04,19.155,28.266,10.266,11.311,12.312,26.914,11.442,5.756
374.41,19.177,28.738,10.519,11.264,12.064,27.236,11.141,5.687
374.78,19.046,28.618,10.723,11.049,12.046,27.298,11.055,5.753
375.15,19.033,28.738,10.776,11.072,12.178,27.172,10.985,5.803
375.53,19.23,28.747,10.876,10.871,12.121,27.23,10.904,6.163
375.9,19.297,28.338,10.727,10.617,12.338,27.157,10.964,5.955
376.27,19.308,28.265,10.688,10.597,12.434,27.111,11.06,5.784
376.64,19.608,28.154,10.678,10.739,12.721,27.034,11.093,5.726
377.01,19.949,28.204,10.2,10.704,13.097,27.256,11.103,5.733
377.38,20.386,28.062,9.919,10.644,13.108,27.172,11.179,5.539
377.76,20.739,28.071,9.823,10.391,13.199,27.053,10.915,5.702
378.13,21.082,28.105,9.693,10.497,13.321,27.112,10.844,5.542
378.5,21.575,28.249,9.461,10.521,13.349,27.106,10.853,5.781
378.87,21.921,28.323,9.408,10.545,13.399,26.971,10.653,5.978
379.24,21.988,28.311,9.353,10.487,13.167,27.053,10.622,5.98
379.61,22.044,28.222,9.624,10.598,12.878,26.835,10.81,6.094
379.98,22.034,28.106,9.55,10.744,12.904,26.759,10.831,6.294
380.36,21.935,27.792,9.552,10.935,12.855,27.044,10.985,6.085
380.73,21.995,27.738,9.638,10.765,12.933,27.262,11.226,6.18
381.1,21.935,27.682,9.749,10.659,12.722,27.238,11.281,6.171
381.47,21.862,27.777,9.623,10.501,12.777,27.31,11.284,6.109
381.84,21.578,27.676,9.485,10.454,12.74,27.228,11.307,6.169
382.21,21.28,27.645,9.521,10.301,12.82,27.127,11.311,5.878
382.58,21.232,27.956,9.499,10.055,12.734,27.276,11.496,5.76
382.95,21.153,28.254,9.438,9.758,12.691,27.455,11.573,5.689
383.32,20.706,28.328,9.309,9.635,12.612,27.185,11.573,5.67
383.69,20.342,28.678,9.434,9.564,12.822,27.365,11.88,5.502
384.07,20.072,28.648,9.503,9.624,12.863,27.497,12.115,5.472
384.44,19.997,28.849,9.518,9.6,12.928,27.479,12.322,5.434
384.81,20.089,28.971,9.339,9.584,13.119,27.665,12.607,5.753
385.18,19.96,29.001,9.267,9.648,13.35,27.483,12.725,5.939
385.55,19.865,29.254,9.231,9.596,13.263,27.332,12.839,6.012
385.92,19.868,29.542,9.205,9.734,13.423,27.381,12.936,5.975
386.29,20.11,29.515,9.183,9.67,13.439,27.342,12.934,6.094
386.66,20.258,29.716,9.115,9.535,13.501,27.184,13.165,6.132
387.03,20.362,29.935,9.302,9.415,13.579,27.18,13.103,6.106
387.4,20.427,30.028,9.256,9.44,13.527,27.134,13.103,6.079
387.77,20.689,30.194,9.408,9.395,13.408,27.299,13.081,6.094
388.14,20.976,30.294,9.364,9.501,13.632,27.373,13.251,6.089
388.51,21.379,30.44,9.485,9.547,13.588,27.366,13.316,6.055
