MacBeth_ColorChecker,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength,Dark skin,Light skin,Blue sky,Foliage,Blue flower,Bluish green,Orange,Purplish blue,Moderate red,Purple,Yellow green,Orange yellow,Blue,Green,Red,Yellow,Magenta,Cyan,White,Neutral 8,Neutral 6.5,Neutral 5,Neutral 3.5,Black
354.94,5.062,-106.48,1083,-1939.3,76.03,353.25,293.87,116.32,108.62,133.94,137.08,131.37,134.75,101.39,111.26,108.54,111.67,117.22,92.633,87.859,59.771,-287.95,187.38,-777.39
355.31,11.056,41.774,22.716,-21.23,33.915,-18.263,-42.601,-155.95,-480.75,-379.45,-1198.6,880.18,2159.8,234.98,336.35,270.38,206.39,262.96,121.44,136.23,32.371,-0.171,-16.599,44.714
355.69,12.75,30.15,19.864,0.912,36.286,5.004,-2.078,-18.256,-45.857,-49.137,-99.458,-152.92,-134.93,-329.14,-284.54,-238.41,-1393.6,-387.15,537.67,432.72,33.139,16.503,0.193,19.741
356.06,9.465,28.422,17.583,-0.626,27.763,8.966,5.582,-6.287,-17.662,-19.167,-45.62,-56.137,-69.011,-86.999,-93.287,-56.713,-141.29,-101.98,-68.337,-228.2,27.101,14.45,2.579,7.978
356.44,11.464,28.732,16.29,5.304,27.894,13.244,12.138,5.771,1.237,-5.133,-13.608,-16.167,-34.605,-41.425,-39.335,-14.829,-46.142,-40.085,7.104,-47.055,22.329,10.415,4.84,5.649
356.81,13.792,28.492,18.494,5.893,27.241,15.297,17.175,12.859,5.603,1.029,-2.479,-2.06,-21.506,-21.758,-26.811,-1.193,-20.665,-18.518,22.275,-13.72,22.953,11.693,5.387,6.135
357.18,11.325,26.173,18.152,4.48,25.699,14.319,16.238,13.358,5.809,1.353,0.2,3.313,-15.207,-18.338,-17.314,1.643,-11.902,-14.317,22.561,-0.269,21.195,12.162,5.286,2.429
357.56,10.554,26.335,18.093,5.624,25.09,16.142,16.655,13.763,8.402,5.074,2.407,9.286,-11.129,-10.969,-9.466,6.864,-3.945,-11.224,25.24,7.961,19.62,13.055,7.152,2.191
357.93,12.054,27.969,20.114,6.548,26.033,19.382,18.557,16.956,11.613,8.394,7.503,14.271,-5.463,-3.332,-3.183,13.61,4.54,-3.117,29.698,15.675,17.255,12.556,9.782,3.454
358.31,10.816,28.273,20.002,5.083,25.234,19.118,19.149,16.973,13.033,9.398,9.014,14.932,-3.557,-2.947,-1.012,15.571,7.284,-0.325,32.856,17.254,16.783,10.732,8.477,3.847
